Word,lemme,cgram,genre,freqlemlivres
juifs,juif,ADJ,m,36.76
futur,futur,ADJ,m,36.35
futurs,futur,ADJ,m,36.35
brûlant,brûlant,ADJ,m,36.28
brûlants,brûlant,ADJ,m,36.28
cruel,cruel,ADJ,m,35.88
cruels,cruel,ADJ,m,35.88
nerveux,nerveux,ADJ,m,35.81
attentif,attentif,ADJ,m,35.74
attentifs,attentif,ADJ,m,35.74
italien,italien,ADJ,m,35.74
italiens,italien,ADJ,m,35.74
intelligent,intelligent,ADJ,m,35.68
intelligents,intelligent,ADJ,m,35.68
brutal,brutal,ADJ,m,35.34
brutaux,brutal,ADJ,m,35.34
nul,nul,ADJ,m,35.07
nul,nul,ADJ:ind,m,35.07
nuls,nul,ADJ,m,35.07
las,las,ADJ,m,35.0
moral,moral,ADJ,m,34.53
moraux,moral,ADJ,m,34.53
absolu,absolu,ADJ,m,34.39
absolus,absolu,ADJ,m,34.39
méchant,méchant,ADJ,m,34.05
méchants,méchant,ADJ,m,34.05
con,con,ADJ,m,33.92
cons,con,ADJ,m,33.92
excellent,excellent,ADJ,m,33.92
excellents,excellent,ADJ,m,33.92
évident,évident,ADJ,m,33.58
évidents,évident,ADJ,m,33.58
mouillé,mouillé,ADJ,m,33.51
mouillés,mouillé,ADJ,m,33.51
idiot,idiot,ADJ,m,33.24
idiots,idiot,ADJ,m,33.24
discret,discret,ADJ,m,33.04
discrets,discret,ADJ,m,33.04
féminin,féminin,ADJ,m,32.91
féminins,féminin,ADJ,m,32.91
familial,familial,ADJ,m,32.84
familiaux,familial,ADJ,m,32.84
officiel,officiel,ADJ,m,32.84
officiels,officiel,ADJ,m,32.84
endormi,endormi,ADJ,m,32.3
endormis,endormi,ADJ,m,32.3
vu,vu,ADJ,m,32.23
vus,vu,ADJ,m,32.23
aigu,aigu,ADJ,m,32.09
aigus,aigu,ADJ,m,32.09
intact,intact,ADJ,m,31.89
intacts,intact,ADJ,m,31.89
définitif,définitif,ADJ,m,31.76
définitifs,définitif,ADJ,m,31.76
fatigué,fatigué,ADJ,m,31.62
fatigués,fatigué,ADJ,m,31.62
pressé,pressé,ADJ,m,31.42
pressés,pressé,ADJ,m,31.42
spécial,spécial,ADJ,m,31.22
spéciaux,spécial,ADJ,m,31.22
enfantin,enfantin,ADJ,m,31.15
enfantins,enfantin,ADJ,m,31.15
transparent,transparent,ADJ,m,30.81
transparents,transparent,ADJ,m,30.81
âgé,âgé,ADJ,m,30.74
âgés,âgé,ADJ,m,30.74
élevé,élevé,ADJ,m,30.68
élevés,élevé,ADJ,m,30.68
parisien,parisien,ADJ,m,30.61
parisiens,parisien,ADJ,m,30.61
assis,assis,ADJ,m,30.27
indifférent,indifférent,ADJ,m,30.14
indifférents,indifférent,ADJ,m,30.14
tels,tels,ADJ:ind,m,30.14
amer,amer,ADJ,m,30.07
amers,amer,ADJ,m,30.07
étonnant,étonnant,ADJ,m,30.0
étonnants,étonnant,ADJ,m,30.0
extérieur,extérieur,ADJ,m,29.86
extérieurs,extérieur,ADJ,m,29.86
absent,absent,ADJ,m,29.8
absents,absent,ADJ,m,29.8
grec,grec,ADJ,m,29.46
grecs,grec,ADJ,m,29.46
prisonnier,prisonnier,ADJ,m,29.46
prisonniers,prisonnier,ADJ,m,29.46
royal,royal,ADJ,m,29.26
royaux,royal,ADJ,m,29.26
connu,connu,ADJ,m,28.92
connus,connu,ADJ,m,28.92
élégant,élégant,ADJ,m,28.85
élégants,élégant,ADJ,m,28.85
délicieux,délicieux,ADJ,m,28.65
intéressant,intéressant,ADJ,m,28.65
intéressants,intéressant,ADJ,m,28.65
civil,civil,ADJ,m,28.51
civils,civil,ADJ,m,28.51
luisant,luisant,ADJ,m,28.51
luisants,luisant,ADJ,m,28.51
carré,carré,ADJ,m,27.77
carrés,carré,ADJ,m,27.77
menu,menu,ADJ,m,27.77
menus,menu,ADJ,m,27.77
infini,infini,ADJ,m,27.03
infinis,infini,ADJ,m,27.03
coupé,coupé,ADJ,m,26.96
coupés,coupé,ADJ,m,26.96
laid,laid,ADJ,m,26.82
laids,laid,ADJ,m,26.82
direct,direct,ADJ,m,26.69
directs,direct,ADJ,m,26.69
violet,violet,ADJ,m,26.28
violets,violet,ADJ,m,26.28
banal,banal,ADJ,m,26.22
banals,banal,ADJ,m,26.22
banaux,banal,ADJ,m,26.22
exprès,exprès,ADJ,m,26.22
levé,levé,ADJ,m,26.01
levés,levé,ADJ,m,26.01
ami,ami,ADJ,m,25.95
amis,ami,ADJ,m,25.95
allié,allié,ADJ,m,25.68
alliés,allié,ADJ,m,25.68
chinois,chinois,ADJ,m,25.14
creux,creux,ADJ,m,25.14
inattendu,inattendu,ADJ,m,25.14
inattendus,inattendu,ADJ,m,25.14
espagnol,espagnol,ADJ,m,25.0
espagnols,espagnol,ADJ,m,25.0
divin,divin,ADJ,m,24.93
divins,divin,ADJ,m,24.93
international,international,ADJ,m,24.86
internationaux,international,ADJ,m,24.86
immédiat,immédiat,ADJ,m,24.59
immédiats,immédiat,ADJ,m,24.59
compliqué,compliqué,ADJ,m,24.46
compliqués,compliqué,ADJ,m,24.46
abandonné,abandonné,ADJ,m,24.39
abandonnés,abandonné,ADJ,m,24.39
religieux,religieux,ADJ,m,24.26
jaloux,jaloux,ADJ,m,24.19
précédent,précédent,ADJ,m,24.12
précédents,précédent,ADJ,m,24.12
généreux,généreux,ADJ,m,23.72
maternel,maternel,ADJ,m,23.72
maternels,maternel,ADJ,m,23.72
bourgeois,bourgeois,ADJ,m,23.45
franc,franc,ADJ,m,23.45
francs,franc,ADJ,m,23.45
récent,récent,ADJ,m,23.45
récents,récent,ADJ,m,23.45
souriant,souriant,ADJ,m,23.45
souriants,souriant,ADJ,m,23.45
fatal,fatal,ADJ,m,23.38
fatals,fatal,ADJ,m,23.38
étonné,étonné,ADJ,m,23.31
étonnés,étonné,ADJ,m,23.31
innocent,innocent,ADJ,m,23.11
innocents,innocent,ADJ,m,23.11
amical,amical,ADJ,m,23.04
amicaux,amical,ADJ,m,23.04
essentiel,essentiel,ADJ,m,23.04
essentiels,essentiel,ADJ,m,23.04
subtil,subtil,ADJ,m,22.91
subtils,subtil,ADJ,m,22.91
cassé,cassé,ADJ,m,22.84
cassés,cassé,ADJ,m,22.84
local,local,ADJ,m,22.84
locaux,local,ADJ,m,22.84
pourri,pourri,ADJ,m,22.84
pourris,pourri,ADJ,m,22.84
grossier,grossier,ADJ,m,22.57
grossiers,grossier,ADJ,m,22.57
mou,mou,ADJ,m,22.5
mous,mou,ADJ,m,22.5
honteux,honteux,ADJ,m,22.3
massif,massif,ADJ,m,22.3
massifs,massif,ADJ,m,22.3
nouvel,nouvel,ADJ,m,22.23
ardent,ardent,ADJ,m,21.89
ardents,ardent,ADJ,m,21.89
privé,privé,ADJ,m,21.89
privés,privé,ADJ,m,21.89
naïf,naïf,ADJ,m,21.62
naïfs,naïf,ADJ,m,21.62
pointu,pointu,ADJ,m,21.62
pointus,pointu,ADJ,m,21.62
surpris,surpris,ADJ,m,21.62
chrétien,chrétien,ADJ,m,21.55
chrétiens,chrétien,ADJ,m,21.55
romain,romain,ADJ,m,21.55
romains,romain,ADJ,m,21.55
géant,géant,ADJ,m,21.42
géants,géant,ADJ,m,21.42
singulier,singulier,ADJ,m,21.42
singuliers,singulier,ADJ,m,21.42
aérien,aérien,ADJ,m,21.15
aériens,aérien,ADJ,m,21.15
armé,armé,ADJ,m,21.08
armés,armé,ADJ,m,21.08
tremblant,tremblant,ADJ,m,21.08
tremblants,tremblant,ADJ,m,21.08
incertain,incertain,ADJ,m,20.95
incertains,incertain,ADJ,m,20.95
inquiétant,inquiétant,ADJ,m,20.88
inquiétants,inquiétant,ADJ,m,20.88
monstrueux,monstrueux,ADJ,m,20.88
peint,peint,ADJ,m,20.74
peints,peint,ADJ,m,20.74
rempli,rempli,ADJ,m,20.74
remplis,rempli,ADJ,m,20.74
actuel,actuel,ADJ,m,20.68
actuels,actuel,ADJ,m,20.68
professionnel,professionnel,ADJ,m,20.61
professionnels,professionnel,ADJ,m,20.61
sexuel,sexuel,ADJ,m,20.54
sexuels,sexuel,ADJ,m,20.54
prudent,prudent,ADJ,m,20.41
prudents,prudent,ADJ,m,20.41
malin,malin,ADJ,m,20.2
malins,malin,ADJ,m,20.2
courant,courant,ADJ,m,20.14
courants,courant,ADJ,m,20.14
pris,pris,ADJ,m,20.14
éclatant,éclatant,ADJ,m,20.14
éclatants,éclatant,ADJ,m,20.14
exceptionnel,exceptionnel,ADJ,m,20.07
exceptionnels,exceptionnel,ADJ,m,20.07
mortel,mortel,ADJ,m,20.07
mortels,mortel,ADJ,m,20.07
arrivé,arrivé,ADJ,m,20.0
arrivés,arrivé,ADJ,m,20.0
sanglant,sanglant,ADJ,m,20.0
sanglants,sanglant,ADJ,m,20.0
mûr,mûr,ADJ,m,19.73
mûrs,mûr,ADJ,m,19.73
surprenant,surprenant,ADJ,m,19.73
surprenants,surprenant,ADJ,m,19.73
solennel,solennel,ADJ,m,19.66
solennels,solennel,ADJ,m,19.66
clos,clos,ADJ,m,19.46
final,final,ADJ,m,19.39
finaux,final,ADJ,m,19.39
apparent,apparent,ADJ,m,19.32
apparents,apparent,ADJ,m,19.32
vilain,vilain,ADJ,m,19.32
vilains,vilain,ADJ,m,19.32
effrayant,effrayant,ADJ,m,19.19
effrayants,effrayant,ADJ,m,19.19
impérial,impérial,ADJ,m,19.12
impériaux,impérial,ADJ,m,19.12
ennemi,ennemi,ADJ,m,19.05
ennemis,ennemi,ADJ,m,19.05
successif,successif,ADJ,m,18.99
successifs,successif,ADJ,m,18.99
suffisant,suffisant,ADJ,m,18.99
suffisants,suffisant,ADJ,m,18.99
amusant,amusant,ADJ,m,18.85
amusants,amusant,ADJ,m,18.85
chéri,chéri,ADJ,m,18.78
chéris,chéri,ADJ,m,18.78
instant,instant,ADJ,m,18.78
instants,instant,ADJ,m,18.78
oublié,oublié,ADJ,m,18.72
oubliés,oublié,ADJ,m,18.72
sain,sain,ADJ,m,18.65
sains,sain,ADJ,m,18.65
fini,fini,ADJ,m,18.58
finis,fini,ADJ,m,18.58
maladroit,maladroit,ADJ,m,18.58
maladroits,maladroit,ADJ,m,18.58
brûlé,brûlé,ADJ,m,18.31
brûlés,brûlé,ADJ,m,18.31
glorieux,glorieux,ADJ,m,18.31
pascal,pascal,ADJ,m,18.24
perpétuel,perpétuel,ADJ,m,18.24
perpétuels,perpétuel,ADJ,m,18.24
éteint,éteint,ADJ,m,17.91
éteints,éteint,ADJ,m,17.91
clandestin,clandestin,ADJ,m,17.64
clandestins,clandestin,ADJ,m,17.64
pesant,pesant,ADJ,m,17.64
pesants,pesant,ADJ,m,17.64
éclairé,éclairé,ADJ,m,17.64
éclairés,éclairé,ADJ,m,17.64
blessé,blessé,ADJ,m,17.57
blessés,blessé,ADJ,m,17.57
fabuleux,fabuleux,ADJ,m,17.5
maudit,maudit,ADJ,m,17.5
maudits,maudit,ADJ,m,17.5
exquis,exquis,ADJ,m,17.36
savant,savant,ADJ,m,17.3
savants,savant,ADJ,m,17.3
croisé,croisé,ADJ,m,17.23
croisés,croisé,ADJ,m,17.23
habillé,habillé,ADJ,m,17.23
habillés,habillé,ADJ,m,17.23
sentimental,sentimental,ADJ,m,17.16
sentimentaux,sentimental,ADJ,m,17.16
usé,usé,ADJ,m,17.09
usés,usé,ADJ,m,17.09
urgent,urgent,ADJ,m,16.96
urgents,urgent,ADJ,m,16.96
inférieur,inférieur,ADJ,m,16.89
inférieurs,inférieur,ADJ,m,16.89
matériel,matériel,ADJ,m,16.89
matériels,matériel,ADJ,m,16.89
ras,ras,ADJ,m,16.89
sournois,sournois,ADJ,m,16.89
bruyant,bruyant,ADJ,m,16.82
bruyants,bruyant,ADJ,m,16.82
constant,constant,ADJ,m,16.82
