Rang,Word,lemme,cgram,genre,nombre,freqlemlivres
545,conversations,conversation,NOM,f,p,115.34
546,cou,cou,NOM,m,s,115.34
548,cigarette,cigarette,NOM,f,s,114.93
549,cigarettes,cigarette,NOM,f,p,114.93
550,scène,scène,NOM,f,s,114.93
551,scènes,scène,NOM,f,p,114.93
552,sommeil,sommeil,NOM,m,s,114.8
556,fer,fer,NOM,m,s,114.19
557,fers,fer,NOM,m,p,114.19
563,forêt,forêt,NOM,f,s,113.31
564,forêts,forêt,NOM,f,p,113.31
565,oiseau,oiseau,NOM,m,s,113.04
567,côte,côte,NOM,f,s,112.5
568,côtes,côte,NOM,f,p,112.5
571,quartier,quartier,NOM,m,s,112.16
572,quartiers,quartier,NOM,m,p,112.16
585,vin,vin,NOM,m,s,110.47
591,trou,trou,NOM,m,s,108.38
592,trous,trou,NOM,m,p,108.38
593,île,île,NOM,f,s,108.24
594,îles,île,NOM,f,p,108.24
595,direction,direction,NOM,f,s,108.04
596,directions,direction,NOM,f,p,108.04
598,pouvoirs,pouvoir,NOM,m,p,107.91
602,campagne,campagne,NOM,f,s,107.23
603,campagnes,campagne,NOM,f,p,107.23
610,champs,champ,NOM,m,p,106.49
612,occasion,occasion,NOM,f,s,105.74
613,occasions,occasion,NOM,f,p,105.74
616,pain,pain,NOM,m,s,105.41
617,pains,pain,NOM,m,p,105.41
618,troupe,troupe,NOM,f,s,105.41
619,troupes,troupe,NOM,f,p,105.41
620,situation,situation,NOM,f,s,104.86
621,situations,situation,NOM,f,p,104.86
622,couloir,couloir,NOM,m,s,104.53
623,couloirs,couloir,NOM,m,p,104.53
628,enfance,enfance,NOM,f,s,103.99
631,copain,copain,NOM,m,s,103.38
632,copains,copain,NOM,m,p,103.38
635,fauteuil,fauteuil,NOM,m,s,102.03
636,fauteuils,fauteuil,NOM,m,p,102.03
637,espoir,espoir,NOM,m,s,101.89
638,espoirs,espoir,NOM,m,p,101.89
641,prince,prince,NOM,m,s,101.22
642,princes,prince,NOM,m,p,101.22
644,princesses,prince,NOM,f,p,101.22
645,salon,salon,NOM,m,s,101.22
647,dimanche,dimanche,NOM,m,s,101.15
648,dimanches,dimanche,NOM,m,p,101.15
653,réponse,réponse,NOM,f,s,99.93
654,réponses,réponse,NOM,f,p,99.93
655,fil,fil,NOM,m,s,99.73
656,fils,fil,NOM,m,p,99.73
657,hiver,hiver,NOM,m,s,99.53
658,hivers,hiver,NOM,m,p,99.53
659,morceau,morceau,NOM,m,s,99.32
660,morceaux,morceau,NOM,m,p,99.32
663,appartement,appartement,NOM,m,s,99.26
664,appartements,appartement,NOM,m,p,99.26
667,roi,roi,NOM,m,s,98.92
668,rois,roi,NOM,m,p,98.92
669,liberté,liberté,NOM,f,s,97.97
670,libertés,liberté,NOM,f,p,97.97
671,existence,existence,NOM,f,s,97.36
673,honneur,honneur,NOM,m,s,97.36
674,honneurs,honneur,NOM,m,p,97.36
675,intérêt,intérêt,NOM,m,s,97.36
676,intérêts,intérêt,NOM,m,p,97.36
679,camp,camp,NOM,m,s,97.23
680,camps,camp,NOM,m,p,97.23
681,compagnie,compagnie,NOM,f,s,97.16
682,compagnies,compagnie,NOM,f,p,97.16
691,grand-père,grand-père,NOM,m,s,96.49
696,natures,nature,NOM,f,p,95.88
703,problème,problème,NOM,m,s,95.0
707,grand-mère,grand-mère,NOM,f,s,94.59
716,beauté,beauté,NOM,f,s,92.64
717,beautés,beauté,NOM,f,p,92.64
718,malheur,malheur,NOM,m,s,92.64
719,malheurs,malheur,NOM,m,p,92.64
720,capitaine,capitaine,NOM,m,s,92.57
721,capitaines,capitaine,NOM,m,p,92.57
726,douleur,douleur,NOM,f,s,91.89
727,douleurs,douleur,NOM,f,p,91.89
728,toit,toit,NOM,m,s,91.76
729,toits,toit,NOM,m,p,91.76
730,condition,condition,NOM,f,s,91.62
731,conditions,condition,NOM,f,p,91.62
736,art,art,NOM,m,s,91.49
737,arts,art,NOM,m,p,91.49
740,détail,détail,NOM,m,s,91.15
741,détails,détail,NOM,m,p,91.15
744,pont,pont,NOM,m,s,90.81
745,ponts,pont,NOM,m,p,90.81
748,vêtement,vêtement,NOM,m,s,90.14
749,vêtements,vêtement,NOM,m,p,90.14
750,tableau,tableau,NOM,m,s,90.0
751,tableaux,tableau,NOM,m,p,90.0
752,cousin,cousin,NOM,m,s,89.93
