"Word","lemme","cgram","freqlemlivres"
"patiemment","patiemment","ADV","11.15"
"au-devant","au-devant","ADV","11.08"
"péniblement","péniblement","ADV","11.01"
"littéralement","littéralement","ADV","10.95"
"sur-le-champ","sur-le-champ","ADV","10.95"
"désespérément","désespérément","ADV","10.81"
"étroitement","étroitement","ADV","10.81"
"bruyamment","bruyamment","ADV","10.54"
"assurément","assurément","ADV","10.41"
"contrairement","contrairement","ADV","10.41"
"insensiblement","insensiblement","ADV","10.41"
"délicatement","délicatement","ADV","10.34"
"exclusivement","exclusivement","ADV","10.34"
"obstinément","obstinément","ADV","10.27"
"précipitamment","précipitamment","ADV","10.14"
"fermement","fermement","ADV","10.07"
"rudement","rudement","ADV","10.07"
"confusément","confusément","ADV","10"
"outre","outre","ADV","10"
"poliment","poliment","ADV","10"
"solidement","solidement","ADV","10"
"éternellement","éternellement","ADV","9.93"
"prudemment","prudemment","ADV","9.86"
"imperceptiblement","imperceptiblement","ADV","9.73"
"soit","soit","ADV","9.73"
"inlassablement","inlassablement","ADV","9.59"
"maladroitement","maladroitement","ADV","9.59"
"instinctivement","instinctivement","ADV","9.46"
"quoique","quoique","ADV","9.46"
"sagement","sagement","ADV","9.46"
"ter","ter","ADV","9.46"
"joyeusement","joyeusement","ADV","9.39"
"passionnément","passionnément","ADV","9.39"
"purement","purement","ADV","9.32"
"paisiblement","paisiblement","ADV","9.12"
"par-ci","par-ci","ADV","9.12"
"volontairement","volontairement","ADV","9.12"
"froidement","froidement","ADV","9.05"
"alentour","alentour","ADV","8.92"
"fixement","fixement","ADV","8.92"
"avant-hier","avant-hier","ADV","8.78"
"à tâtons","à tâtons","ADV","8.78"
"physiquement","physiquement","ADV","8.72"
"cruellement","cruellement","ADV","8.65"
"relativement","relativement","ADV","8.65"
"intensément","intensément","ADV","8.58"
"singulièrement","singulièrement","ADV","8.58"
"extraordinairement","extraordinairement","ADV","8.51"
"négligemment","négligemment","ADV","8.45"
"posément","posément","ADV","8.38"
"énormément","énormément","ADV","8.38"
"d'emblée","d'emblée","ADV","8.31"
"fraîchement","fraîchement","ADV","8.31"
"fréquemment","fréquemment","ADV","8.24"
"progressivement","progressivement","ADV","8.24"
"pêle-mêle","pêle-mêle","ADV","8.24"
"spontanément","spontanément","ADV","8.11"
"entre-temps","entre-temps","ADV","7.97"
"faussement","faussement","ADV","7.91"
"strictement","strictement","ADV","7.91"
"provisoirement","provisoirement","ADV","7.84"
"pleinement","pleinement","ADV","7.77"
"habituellement","habituellement","ADV","7.7"
"fièrement","fièrement","ADV","7.64"
"nécessairement","nécessairement","ADV","7.64"
"instantanément","instantanément","ADV","7.57"
"publiquement","publiquement","ADV","7.57"
"re","r","ADV","7.5"
"nerveusement","nerveusement","ADV","7.36"
"officiellement","officiellement","ADV","7.36"
"furieusement","furieusement","ADV","7.3"
"moralement","moralement","ADV","7.3"
"exprès","exprès","ADV","7.23"
"illico","illico","ADV","7.16"
"merveilleusement","merveilleusement","ADV","7.03"
"obscurément","obscurément","ADV","6.96"
"ouvertement","ouvertement","ADV","6.96"
"dorénavant","dorénavant","ADV","6.89"
"mystérieusement","mystérieusement","ADV","6.82"
"raide","raide","ADV","6.82"
"après-demain","après-demain","ADV","6.76"
"distinctement","distinctement","ADV","6.76"
"manifestement","manifestement","ADV","6.76"
"quasiment","quasiment","ADV","6.62"
"essentiellement","essentiellement","ADV","6.55"
"sourdement","sourdement","ADV","6.55"
"contrebas","contrebas","ADV","6.49"
"follement","follement","ADV","6.42"
"mentalement","mentalement","ADV","6.42"
"méchamment","méchamment","ADV","6.42"
"inconsciemment","inconsciemment","ADV","6.28"
"sauvagement","sauvagement","ADV","6.28"
"brièvement","brièvement","ADV","6.22"
"convenablement","convenablement","ADV","6.22"
"solennellement","solennellement","ADV","6.15"
"avidement","avidement","ADV","6.08"
"principalement","principalement","ADV","6.08"
"sévèrement","sévèrement","ADV","6.08"
"intérieurement","intérieurement","ADV","6.01"
"naïvement","naïvement","ADV","6.01"
"salement","salement","ADV","6.01"
"alternativement","alternativement","ADV","5.88"
"aux aguets","aux aguets","ADV","5.88"
"dangereusement","dangereusement","ADV","5.88"
"finement","finement","ADV","5.88"
"véritablement","véritablement","ADV","5.88"
"aucunement","aucunement","ADV","5.81"
"grand","grand","ADV","5.81"
"simultanément","simultanément","ADV","5.81"
"éventuellement","éventuellement","ADV","5.81"
"vraisemblablement","vraisemblablement","ADV","5.68"
"éperdument","éperdument","ADV","5.68"
"affreusement","affreusement","ADV","5.61"
"rageusement","rageusement","ADV","5.61"
"ben","ben","ADV","5.54"
"docilement","docilement","ADV","5.54"
"douloureusement","douloureusement","ADV","5.54"
"hâtivement","hâtivement","ADV","5.54"
"soudainement","soudainement","ADV","5.54"
"délibérément","délibérément","ADV","5.47"
"correctement","correctement","ADV","5.41"
"grossièrement","grossièrement","ADV","5.41"
"joliment","joliment","ADV","5.41"
"interminablement","interminablement","ADV","5.34"
"résolument","résolument","ADV","5.34"
"délicieusement","délicieusement","ADV","5.27"
"amèrement","amèrement","ADV","5.2"
"ardemment","ardemment","ADV","5.2"
"habilement","habilement","ADV","5.2"
"momentanément","momentanément","ADV","5.2"
"pensivement","pensivement","ADV","5.2"
"fatalement","fatalement","ADV","5.07"
"furtivement","furtivement","ADV","5.07"
"stupidement","stupidement","ADV","5.07"
"abondamment","abondamment","ADV","4.93"
"pesamment","pesamment","ADV","4.93"
"au-dedans","au-dedans","ADV","4.86"
"consciencieusement","consciencieusement","ADV","4.86"
"grand-peine","grand-peine","ADV","4.86"
"invariablement","invariablement","ADV","4.86"
"continuellement","continuellement","ADV","4.8"
