Word,lemme,cgram,freq
complète,complet,ADJ,8.84
endormie,endormi,ADJ,8.84
historique,historique,ADJ,8.83
ouest,ouest,ADJ,8.81
enculés,enculé,ADJ,8.78
disponible,disponible,ADJ,8.74
supérieur,supérieur,ADJ,8.74
blond,blond,ADJ,8.73
sèche,sec,ADJ,8.72
muet,muet,ADJ,8.69
stable,stable,ADJ,8.67
inutiles,inutile,ADJ,8.66
quatrième,quatrième,ADJ,8.65
militaires,militaire,ADJ,8.63
typique,typique,ADJ,8.62
géant,géant,ADJ,8.6
pleines,plein,ADJ,8.6
neuf,neuf,ADJ,8.59
absolu,absolu,ADJ,8.55
saint,saint,ADJ,8.54
indispensable,indispensable,ADJ,8.52
utiles,utile,ADJ,8.52
conscient,conscient,ADJ,8.51
religieux,religieux,ADJ,8.51
vulgaire,vulgaire,ADJ,8.48
commercial,commercial,ADJ,8.47
chiant,chiant,ADJ,8.46
lourde,lourd,ADJ,8.46
blonde,blond,ADJ,8.45
officielle,officiel,ADJ,8.45
absolue,absolu,ADJ,8.44
suspect,suspect,ADJ,8.44
vaste,vaste,ADJ,8.44
juive,juif,ADJ,8.43
original,original,ADJ,8.43
atroce,atroce,ADJ,8.41
criminel,criminel,ADJ,8.39
normaux,normal,ADJ,8.35
plat,plat,ADJ,8.34
lasse,las,ADJ,8.33
négatif,négatif,ADJ,8.33
silencieux,silencieux,ADJ,8.3
graves,grave,ADJ,8.29
connu,connu,ADJ,8.28
sévère,sévère,ADJ,8.28
humide,humide,ADJ,8.24
sauf,sauf,ADJ,8.24
anglaise,anglais,ADJ,8.21
c,c,ADJ,8.21
souris,souris,ADJ,8.21
mariés,marié,ADJ,8.18
mondiale,mondial,ADJ,8.17
quarante,quarante,ADJ,8.16
relax,relax,ADJ,8.16
innocente,innocent,ADJ,8.15
superbes,superbe,ADJ,8.1
las,las,ADJ,8.09
artistique,artistique,ADJ,8.08
alerte,alerte,ADJ,8.05
international,international,ADJ,8.04
out,out,ADJ,8.04
adulte,adulte,ADJ,8.02
gardien,gardien,ADJ,8.02
sauvages,sauvage,ADJ,8.01
ultime,ultime,ADJ,8.01
boulot,boulot,ADJ,7.96
fortes,fort,ADJ,7.92
pathétique,pathétique,ADJ,7.92
promis,promis,ADJ,7.92
allemands,allemand,ADJ,7.9
courageuse,courageux,ADJ,7.87
affreuse,affreux,ADJ,7.86
critique,critique,ADJ,7.83
curieuse,curieux,ADJ,7.81
saoul,saoul,ADJ,7.81
actuelle,actuel,ADJ,7.8
calmes,calme,ADJ,7.79
armée,armé,ADJ,7.78
bidon,bidon,ADJ,7.78
canon,canon,ADJ,7.78
fascinant,fascinant,ADJ,7.78
familier,familier,ADJ,7.77
allergique,allergique,ADJ,7.76
faibles,faible,ADJ,7.75
âgée,âgé,ADJ,7.75
anonyme,anonyme,ADJ,7.74
japonais,japonais,ADJ,7.71
nécessaires,nécessaire,ADJ,7.71
seize,seize,ADJ,7.71
psychiatrique,psychiatrique,ADJ,7.68
finale,final,ADJ,7.67
âgé,âgé,ADJ,7.67
parents,parent,ADJ,7.66
personnelles,personnel,ADJ,7.66
fermé,fermé,ADJ,7.61
risqué,risqué,ADJ,7.61
italienne,italien,ADJ,7.56
exacte,exact,ADJ,7.55
basque,basque,ADJ,7.51
féminin,féminin,ADJ,7.51
insensé,insensé,ADJ,7.51
future,futur,ADJ,7.5
possibles,possible,ADJ,7.5
confus,confus,ADJ,7.48
liquide,liquide,ADJ,7.48
x,x,ADJ,7.48
répugnant,répugnant,ADJ,7.47
valable,valable,ADJ,7.46
russes,russe,ADJ,7.42
visible,visible,ADJ,7.41
impatient,impatient,ADJ,7.4
sinistre,sinistre,ADJ,7.39
centrale,central,ADJ,7.33
locale,local,ADJ,7.31
serré,serré,ADJ,7.31
dramatique,dramatique,ADJ,7.29
authentique,authentique,ADJ,7.28
égoïste,égoïste,ADJ,7.27
grise,gris,ADJ,7.25
étrangère,étranger,ADJ,7.25
inconnue,inconnu,ADJ,7.24
familiale,familial,ADJ,7.22
ouverts,ouvert,ADJ,7.22
sombres,sombre,ADJ,7.21
fermés,fermé,ADJ,7.2
intense,intense,ADJ,7.2
tue,tu,ADJ,7.19
homo,homo,ADJ,7.18
commune,commun,ADJ,7.17
honteux,honteux,ADJ,7.17
morale,moral,ADJ,7.17
sages,sage,ADJ,7.17
professionnelle,professionnel,ADJ,7.13
prudents,prudent,ADJ,7.13
fâché,fâché,ADJ,7.1
amie,ami,ADJ,7.09
surprise,surpris,ADJ,7.08
claires,clair,ADJ,7.05
inhabituel,inhabituel,ADJ,7.04
solaire,solaire,ADJ,7.04
treize,treize,ADJ,7
indigne,indigne,ADJ,6.99
pareilles,pareil,ADJ,6.97
précise,précis,ADJ,6.97
saine,sain,ADJ,6.97
