,lemma,"('singular', 'masculine')","('plural', 'masculine')","('singular', 'feminine')","('plural', 'feminine')","('singular', 'invariable')","('plural', 'invariable')","('invariable', 'masculine')","('invariable', 'invariable')","('invariable', 'feminine')"
2514,antiparasite,,,antiparasite,antiparasites,,,,,
2515,antiparkinsonien,antiparkinsonien,antiparkinsoniens,antiparkinsonienne,antiparkinsoniennes,,,,,
2516,antiparlementaire,,,,,antiparlementaire,antiparlementaires,,,
2517,antiparti,,,,,,,,antiparti,
2518,antipathique,,,,,antipathique,antipathiques,,,
2519,antipatinage,,,,,,,,antipatinage,
2520,antipatriote,,,,,antipatriote,antipatriotes,,,
2521,antipatriotique,,,,,antipatriotique,antipatriotiques,,,
2522,antipeaux,,,,,,,,antipeaux,
2523,antipelliculaire,,,,,antipelliculaire,antipelliculaires,,,
2524,antipernicieux,antipernicieux,,antipernicieuse,,,antipernicieuses,,,
2525,antipersonnaliste,,,,,antipersonnaliste,antipersonnalistes,,,
2526,antipersonnel,antipersonnel,antipersonnels,antipersonnelle,antipersonnelles,,,,,
2527,antiperspirant,antiperspirant,antiperspirants,antiperspirante,antiperspirantes,,,,,
2528,antiphallinique,,,,,antiphallinique,antiphalliniques,,,
2529,antiphernal,antiphernal,antiphernaux,antiphernale,antiphernales,,,,,
2530,antiphilosophe,,,,,antiphilosophe,antiphilosophes,,,
2531,antiphilosophique,,,,,antiphilosophique,antiphilosophiques,,,
2532,antiphlogistique,,,,,antiphlogistique,antiphlogistiques,,,
2533,antiphonique,,,,,antiphonique,antiphoniques,,,
2534,antiphoné,antiphoné,antiphonés,antiphonée,antiphonées,,,,,
2535,antiphrastique,,,,,antiphrastique,antiphrastiques,,,
2536,antiphysique,,,,,antiphysique,antiphysiques,,,
2537,antipilonnement,,,,,,,,antipilonnement,
2538,antipittoresque,antipittoresque,,,,,,,,
2539,antiplaquettaire,,,,,antiplaquettaire,antiplaquettaires,,,
2540,antiplastique,,,,,antiplastique,antiplastiques,,,
2541,antipluraliste,,,,,antipluraliste,antipluralistes,,,
2542,antipneumococcique,,,,,antipneumococcique,antipneumococciques,,,
2543,antipodaire,,,,,antipodaire,antipodaires,,,
2544,antipodal,antipodal,antipodaux,antipodale,antipodales,,,,,
2545,antipode,,,,,antipode,antipodes,,,
2546,antipodique,,,,,antipodique,antipodiques,,,
2547,antipodiste,,,,,antipodiste,antipodistes,,,
2548,antipoils,,,,,,,,antipoils,
2549,antipoison,,,,,antipoison,antipoisons,,,
2550,antipolio,,,,,,,,antipolio,
2551,antipoliomyélitique,,,,,antipoliomyélitique,antipoliomyélitiques,,,
2552,antipolitique,,,,,antipolitique,antipolitiques,,,
2553,antipollution,,,,,antipollution,antipollutions,,,
2554,antipolyurique,,,,,antipolyurique,antipolyuriques,,,
2555,antipoétique,,,,,antipoétique,antipoétiques,,,
2556,antiprincipal,antiprincipal,antiprincipaux,antiprincipale,antiprincipales,,,,,
2557,antiprogestamimétique,,,,,antiprogestamimétique,antiprogestamimétiques,,,
2558,antiprogestatif,antiprogestatif,antiprogestatifs,antiprogestative,antiprogestatives,,,,,
2559,antiprogestérone,,,,,,,,antiprogestérone,
2560,antiprolactine,,,,,,,,antiprolactine,
2561,antiprolifératif,antiprolifératif,antiprolifératifs,antiproliférative,antiprolifératives,,,,,
2562,antiprotectionniste,,,,,antiprotectionniste,antiprotectionnistes,,,
2563,antiprotozoaire,,,,,antiprotozoaire,antiprotozoaires,,,
2564,antiprotéase,,,,,,,,antiprotéase,
2565,antiprurigineux,antiprurigineux,,antiprurigineuse,,,antiprurigineuses,,,
2566,antipsorique,,,,,antipsorique,antipsoriques,,,
2567,antipsychiatrique,,,,,antipsychiatrique,antipsychiatriques,,,
2568,antipsychotique,,,,,antipsychotique,antipsychotiques,,,
2569,antipullorique,,,,,antipullorique,antipulloriques,,,
2570,antiputride,,,,,antiputride,antiputrides,,,
2571,antipyorrhéique,,,,,antipyorrhéique,antipyorrhéiques,,,
2572,antipyrétique,,,,,antipyrétique,antipyrétiques,,,
2573,antipédagogique,,,,,antipédagogique,antipédagogiques,,,
2574,antipériplanaire,,,,,antipériplanaire,antipériplanaires,,,
2575,antipéristaltique,,,,,antipéristaltique,antipéristaltiques,,,
2576,antique,,,,,antique,antiques,,,
2577,antiquinquennat,,,,,,,,antiquinquennat,
2578,antiquisant,antiquisant,antiquisants,antiquisante,antiquisantes,,,,,
2579,antiquissime,,,,,antiquissime,antiquissimes,,,
2580,antiqué,antiqué,antiqués,antiquée,antiquées,,,,,
2581,antirabique,,,,,antirabique,antirabiques,,,
2582,antirachitique,,,,,antirachitique,antirachitiques,,,
2583,antiraciste,,,,,antiraciste,antiracistes,,,
2584,antiradar,,,,,antiradar,antiradars,,,
2585,antiradiation,,,,,antiradiation,antiradiations,,,
2586,antirassissant,antirassissant,antirassissants,antirassissante,antirassissantes,,,,,
2587,antirationaliste,,,,,antirationaliste,antirationalistes,,,
2588,antirationnel,antirationnel,antirationnels,antirationnelle,antirationnelles,,,,,
2589,antiredéposant,antiredéposant,antiredéposants,antiredéposante,antiredéposantes,,,,,
2590,antireflet,,,,,antireflet,,antireflets,,
2591,antirejet,,,,,antirejet,antirejets,,,
2592,antireligieux,,,antireligieuse,antireligieuses,,,antireligieux,,
2593,antirelâchement,,,,,,,,antirelâchement,
2594,antiretombées,,,,,,,,antiretombées,
2595,antiretour,,,,,,,,antiretour,
2596,antirhumatismal,antirhumatismal,antirhumatismaux,antirhumatismale,antirhumatismales,,,,,
2597,antirhésus,,,,,,,,antirhésus,
2598,antiride,,,,,antiride,antirides,,,
2599,antirides,,,,,,,,antirides,
2600,antirotatoire,,,,,antirotatoire,antirotatoires,,,
2601,antirougeoleux,antirougeoleux,,antirougeoleuse,,,antirougeoleuses,,,
2602,antirouille,,,,antirouilles,,,,antirouille,
2603,antiroulis,,,,,,,,antiroulis,
2604,antirubéoleux,antirubéoleux,,antirubéoleuse,,,antirubéoleuses,,,
2605,antirubéolique,,,,,antirubéolique,antirubéoliques,,,
2606,antirusse,,,,,antirusse,antirusses,,,
2607,antirèglementaire,,,,,antirèglementaire,antirèglementaires,,,
2608,antiréactif,antiréactif,antiréactifs,antiréactive,antiréactives,,,,,
2609,antiréaliste,,,,,antiréaliste,antiréalistes,,,
2610,antiréfléchissant,antiréfléchissant,antiréfléchissants,antiréfléchissante,antiréfléchissantes,,,,,
2611,antiréglementaire,,,,,antiréglementaire,antiréglementaires,,,
2612,antirépublicain,antirépublicain,antirépublicains,antirépublicaine,antirépublicaines,,,,,
2613,antirésonant,antirésonant,antirésonants,antirésonante,antirésonantes,,,,,
2614,antirésonnant,antirésonnant,antirésonnants,antirésonnante,antirésonnantes,,,,,
2615,antirétroviral,antirétroviral,antirétroviraux,antirétrovirale,antirétrovirales,,,,,
2616,antirévisionniste,,,,,antirévisionniste,antirévisionnistes,,,
2617,antirévolutionnaire,,,,,antirévolutionnaire,antirévolutionnaires,,,
2618,antisalissure,,,,,,,,antisalissure,
2619,antisatellite,,,,,,,,antisatellite,
2620,antiscabieux,antiscabieux,,antiscabieuse,,,antiscabieuses,,,
2621,antiscientifique,,,,,antiscientifique,antiscientifiques,,,
2622,antiscorbutique,,,,,antiscorbutique,antiscorbutiques,,,
2623,antisecte,,,,,antisecte,antisectes,,,
2624,antiseptique,,,,,antiseptique,antiseptiques,,,
2625,antisexiste,,,,,antisexiste,antisexistes,,,
2626,antisida,,,,,,,,antisida,
2627,antisioniste,,,,,antisioniste,antisionistes,,,
2628,antisismique,,,,,antisismique,antisismiques,,,
2629,antisocial,antisocial,antisociaux,antisociale,antisociales,,,,,
2630,antisocialiste,,,,,antisocialiste,antisocialistes,,,
2631,antisolaire,,,,,antisolaire,antisolaires,,,
2632,antisolidaire,antisolidaire,,,,,,,,
2633,antisouffle,,,,,,,,antisouffle,
2634,antisoviétique,,,,,antisoviétique,antisoviétiques,,,
2635,antispasmodique,,,,,antispasmodique,antispasmodiques,,,
2636,antispastique,,,,,antispastique,antispastiques,,,
2637,antispiritualiste,,,,,antispiritualiste,antispiritualistes,,,
2638,antisportif,antisportif,antisportifs,antisportive,antisportives,,,,,
2639,antistalinien,antistalinien,antistaliniens,antistalinienne,antistaliniennes,,,,,
2640,antistatique,,,,,antistatique,antistatiques,,,
2641,antistreptococcique,,,,,antistreptococcique,antistreptococciques,,,
2642,antistress,,,,,,,,antistress,
2643,antistrophique,,,,,antistrophique,antistrophiques,,,
2644,antistructuraliste,,,,,antistructuraliste,antistructuralistes,,,
2645,antisudoral,antisudoral,antisudoraux,antisudorale,antisudorales,,,,,
2646,antisuie,,,,,,,,antisuie,
2647,antisurface,,,,,,,,antisurface,
2648,antisymétrique,,,,,antisymétrique,antisymétriques,,,
2649,antisymétrisé,antisymétrisé,antisymétrisés,antisymétrisée,antisymétrisées,,,,,
2650,antisyndical,antisyndical,antisyndicaux,antisyndicale,antisyndicales,,,,,
2651,antisynthétique,,,,,antisynthétique,antisynthétiques,,,
2652,antisyphilitique,,,,,antisyphilitique,antisyphilitiques,,,
2653,antisystématique,,,,,antisystématique,antisystématiques,,,
2654,antiséborrhéique,,,,,antiséborrhéique,antiséborrhéiques,,,
2655,antisécheresse,,,,,,,,antisécheresse,
2656,antisécrétoire,,,,,antisécrétoire,antisécrétoires,,,
2657,antiségrégationniste,,,,,antiségrégationniste,antiségrégationnistes,,,
2658,antiséisme,,,,,antiséisme,antiséismes,,,
2659,antisémite,,,,,antisémite,antisémites,,,
2660,antisémitique,,,,,antisémitique,antisémitiques,,,
2661,antisérotoninergique,,,,,antisérotoninergique,antisérotoninergiques,,,
2662,antitabac,,,,,,,,antitabac,
2663,antitabagique,,,,,antitabagique,antitabagiques,,,
2664,antitache,,,,,antitache,antitaches,,,
2665,antitank,,,,,antitank,antitanks,,,
2666,antitartre,,,,,,,,antitartre,
2667,antiterne,,,,,antiterne,antiternes,,,
2668,antiterroriste,,,,,antiterroriste,antiterroristes,,,
2669,antithermique,,,,,antithermique,antithermiques,,,
2670,antithyroïdien,antithyroïdien,antithyroïdiens,antithyroïdienne,antithyroïdiennes,,,,,
2671,antithéologique,,,,,antithéologique,antithéologiques,,,
2672,antithétique,,,,,antithétique,antithétiques,,,
2673,antitissulaire,,,,,antitissulaire,antitissulaires,,,
2674,antitotalitaire,,,,,antitotalitaire,antitotalitaires,,,
2675,antitout,,,,,,,,antitout,
2676,antitoxique,,,,,antitoxique,antitoxiques,,,
2677,antitrac,,,,,,,,antitrac,
2678,antitransformant,antitransformant,antitransformants,antitransformante,antitransformantes,,,,,
2679,antitrappe,,,,,,,,antitrappe,
2680,antitrigonométrique,antitrigonométrique,,,,,,,,
2681,antitrinitaire,,,,,antitrinitaire,antitrinitaires,,,
2682,antitrinitarien,antitrinitarien,antitrinitariens,antitrinitarienne,antitrinitariennes,,,,,
2683,antitrust,,,,,antitrust,antitrusts,,,
2684,antitrusts,,,,,,,,antitrusts,
2685,antituberculeux,,,antituberculeuse,antituberculeuses,,,antituberculeux,,
2686,antitumoral,antitumoral,antitumoraux,antitumorale,antitumorales,,,,,
2687,antitussif,antitussif,antitussifs,antitussive,antitussives,,,,,
2688,antityphique,,,,,antityphique,antityphiques,,,
2689,antityphoparatyphique,,,,,antityphoparatyphique,antityphoparatyphiques,,,
2690,antityphoïdique,,,,,antityphoïdique,antityphoïdiques,,,
2691,antitétanique,,,,,antitétanique,antitétaniques,,,
2692,antiulcéreux,antiulcéreux,,antiulcéreuse,,,antiulcéreuses,,,
2693,antiunitaire,,,,,antiunitaire,antiunitaires,,,
2694,antiusure,,,,,,,,antiusure,
2695,antivaccine,,,,,,,,antivaccine,
2696,antivaricelleux,antivaricelleux,,antivaricelleuse,,,antivaricelleuses,,,
2697,antivarices,,,,,,,,antivarices,
2698,antivariolique,,,,,antivariolique,antivarioliques,,,
2699,antivenimeux,,,antivenimeuse,antivenimeuses,,,antivenimeux,,
2700,antivibratile,,,,,antivibratile,antivibratiles,,,
2701,antivieillissant,antivieillissant,antivieillissants,antivieillissante,antivieillissantes,,,,,
2702,antiviolence,,,,,,,,antiviolence,
2703,antiviral,antiviral,antiviraux,antivirale,antivirales,,,,,
2704,antivitaminique,,,,,antivitaminique,antivitaminiques,,,
2705,antivivisectionniste,,,,,antivivisectionniste,antivivisectionnistes,,,
2706,antivoile,,,,,,,,antivoile,
2707,antivol,,,,,antivol,antivols,,,
2708,antivomitif,antivomitif,antivomitifs,antivomitive,antivomitives,,,,,
2709,antivrilleur,antivrilleur,antivrilleurs,,,,,,,
2710,antivéhicules,,,,,,,,antivéhicules,
2711,antivénéneux,,,antivénéneuse,antivénéneuses,,,antivénéneux,,
2712,antivénérien,antivénérien,antivénériens,antivénérienne,antivénériennes,,,,,
2713,antixérophtalmique,,,,,antixérophtalmique,antixérophtalmiques,,,
2714,antizymique,,,,,antizymique,antizymiques,,,
2715,antiâge,,,,,antiâge,antiâges,,,
2716,antiéconomique,,,,,antiéconomique,antiéconomiques,,,
2717,antiémeute,,,,,antiémeute,antiémeutes,,,
2718,antiémulsion,,,,,,,,antiémulsion,
2719,antiémétique,,,,,antiémétique,antiémétiques,,,
2720,antiémétisant,antiémétisant,antiémétisants,antiémétisante,antiémétisantes,,,,,
2721,antiépileptique,,,,,antiépileptique,antiépileptiques,,,
2722,antiétatique,,,,,antiétatique,antiétatiques,,,
2723,antiévangélique,,,,,antiévangélique,antiévangéliques,,,
2724,antiévanouissement,,,,,,,,antiévanouissement,
2725,antoiniste,,,,,antoiniste,antoinistes,,,
2726,antonyme,,,,,antonyme,antonymes,,,
2727,antonymique,,,,,antonymique,antonymiques,,,
2728,antral,antral,antraux,antrale,antrales,,,,,
2729,anté-capitaliste,anté-capitaliste,,,,,,,,
2730,anté-diluvien,anté-diluvien,,,,,,,,
2731,anté-historique,anté-historique,,,,,,,,
2732,anté-humain,anté-humain,,,,,,,,
2733,anté-prédicatif,anté-prédicatif,,,,,,,,
2734,anté-scientifique,anté-scientifique,,,,,,,,
2735,antéallergique,antéallergique,,,,,,,,
2736,antébacillaire,antébacillaire,,,,,,,,
2737,antébourgeois,antébourgeois,,,,,,,,
2738,antébrachial,antébrachial,antébrachiaux,antébrachiale,antébrachiales,,,,,
2739,antécambrien,antécambrien,antécambriens,antécambrienne,antécambriennes,,,,,
2740,antéconciliaire,,,,,antéconciliaire,antéconciliaires,,,
2741,antéconsonantique,,,,,antéconsonantique,antéconsonantiques,,,
2742,antécédent,antécédent,antécédents,antécédente,antécédentes,,,,,
2743,antédiluvien,antédiluvien,antédiluviens,antédiluvienne,antédiluviennes,,,,,
2744,antégrade,antégrade,,,,,,,,
2745,antégrammatical,antégrammatical,,,,,,,,
2746,antéhypophysaire,,,,,antéhypophysaire,antéhypophysaires,,,
2747,antéislamique,,,,,antéislamique,antéislamiques,,,
2748,antémoral,antémoral,,,,,,,,
2749,antémythologique,antémythologique,,,,,,,,
2750,anténatal,anténatal,anténatals,anténatale,anténatales,,,,,
2751,anténuptial,anténuptial,anténuptiaux,anténuptiale,anténuptiales,,,,,
2752,antéposé,antéposé,antéposés,antéposée,antéposées,,,,,
2753,antéprédicatif,antéprédicatif,antéprédicatifs,antéprédicative,antéprédicatives,,,,,
2754,antépénultième,,,,,antépénultième,antépénultièmes,,,
2755,antérieur,antérieur,antérieurs,antérieure,antérieures,,,,,
2756,antéro-inférieur,antéro-inférieur,,antéro-inférieure,,,,,,
2757,antéro-interne,,,,,antéro-interne,,,,
2758,antéro-linguale,antéro-linguale,,,,,,,,
2759,antérograde,,,,,antérograde,antérogrades,,,
2760,antérolatéral,antérolatéral,antérolatéraux,antérolatérale,antérolatérales,,,,,
2761,antéropostérieur,antéropostérieur,antéropostérieurs,antéropostérieure,antéropostérieures,,,,,
2762,antérosupérieur,antérosupérieur,antérosupérieurs,antérosupérieure,antérosupérieures,,,,,
2763,antétectonique,,,,,antétectonique,antétectoniques,,,
2764,anucléé,anucléé,anucléés,anucléée,anucléées,,,,,
2765,anuité,anuité,anuités,anuitée,anuitées,,,,,
2766,anurique,,,,,anurique,anuriques,,,
2767,anversois,,,anversoise,anversoises,,,anversois,,
2768,anxieux,,,anxieuse,anxieuses,,,anxieux,,
2769,anxiogène,,,,,anxiogène,anxiogènes,,,
2770,anxiolytique,,,,,anxiolytique,anxiolytiques,,,
2771,anème,,,,,anème,anèmes,,,
2772,anéanti,anéanti,anéantis,anéantie,anéanties,,,,,
2773,anéantissant,anéantissant,anéantissants,anéantissante,anéantissantes,,,,,
2774,anéchoïde,,,,,anéchoïde,anéchoïdes,,,
2775,anéchoïque,,,,,anéchoïque,anéchoïques,,,
2776,anélastique,,,,,anélastique,anélastiques,,,
2777,anémiant,anémiant,anémiants,anémiante,anémiantes,,,,,
2778,anémique,,,,,anémique,anémiques,,,
2779,anémié,anémié,anémiés,anémiée,anémiées,,,,,
2780,anémochore,,,,,anémochore,anémochores,,,
2781,anémogame,,,,,anémogame,anémogames,,,
2782,anémométrique,,,,,anémométrique,anémométriques,,,
2783,anémophile,,,,,anémophile,anémophiles,,,
2784,anépigraphe,,,,,anépigraphe,anépigraphes,,,
2785,anéroïde,,,,,anéroïde,anéroïdes,,,
2786,anérète,,,,,anérète,anérètes,,,
2787,anévrismal,anévrismal,anévrismaux,anévrismale,anévrismales,,,,,
2788,anévrismatique,anévrismatique,,,,,,,,
2789,anévrysmal,anévrysmal,anévrysmaux,anévrysmale,anévrysmales,,,,,
2790,anévrysmatique,anévrysmatique,,,,,,,,
2791,aoristique,,,,,aoristique,aoristiques,,,
2792,aorte,,,,,aorte,aortes,,,
2793,aortique,,,,,aortique,aortiques,,,
2794,aouté,aouté,aoutés,aoutée,aoutées,,,,,
2795,aoûté,aoûté,aoûtés,aoûtée,aoûtées,,,,,
2796,apache,,,,,apache,apaches,,,
2797,apagogique,,,,,apagogique,apagogiques,,,
2798,apaisant,apaisant,apaisants,apaisante,apaisantes,,,,,
2799,apaisé,apaisé,apaisés,apaisée,apaisées,,,,,
2800,apanager,apanager,apanagers,apanagère,apanagères,,,,,
2801,apanagiste,,,,,apanagiste,apanagistes,,,
2802,apanagé,apanagé,apanagés,apanagée,apanagées,,,,,
2803,apathique,,,,,apathique,apathiques,,,
2804,apatride,,,,,apatride,apatrides,,,
2805,apatrié,apatrié,apatriés,apatriée,apatriées,,,,,
2806,apennin,apennin,apennins,apennine,apennines,,,,,
2807,aperceptible,,,,,aperceptible,aperceptibles,,,
2808,aperceptif,aperceptif,aperceptifs,aperceptive,aperceptives,,,,,
2809,apercevable,,,,,apercevable,apercevables,,,
2810,apert,apert,aperts,aperte,apertes,,,,,
2811,aperçu,aperçu,aperçus,aperçue,aperçues,,,,,
2812,apeuré,apeuré,apeurés,apeurée,apeurées,,,,,
2813,apexien,apexien,apexiens,apexienne,apexiennes,,,,,
2814,aphagocide,aphagocide,,,,,,,,
2815,aphake,,,,,aphake,aphakes,,,
2816,aphaque,,,,,aphaque,aphaques,,,
2817,aphasique,,,,,aphasique,aphasiques,,,
2818,aphlogistique,,,,,aphlogistique,aphlogistiques,,,
2819,aphone,,,,,aphone,aphones,,,
2820,aphonique,,,,,aphonique,aphoniques,,,
2821,aphoristique,,,,,aphoristique,aphoristiques,,,
2822,aphotique,,,,,aphotique,aphotiques,,,
2823,aphrodisiaque,,,,,aphrodisiaque,aphrodisiaques,,,
2824,aphrodisien,aphrodisien,aphrodisiens,aphrodisienne,aphrodisiennes,,,,,
2825,aphteux,,,aphteuse,aphteuses,,,aphteux,,
2826,aphtoïde,,,,,aphtoïde,aphtoïdes,,,
2827,aphylactique,,,,,aphylactique,aphylactiques,,,
2828,aphylle,,,,,aphylle,aphylles,,,
2829,aphytal,aphytal,aphytaux,aphytale,aphytales,,,,,
2830,aphélie,,,,,aphélie,aphélies,,,
2831,aphétique,,,,,aphétique,aphétiques,,,
2832,apical,apical,apicaux,apicale,apicales,,,,,
2833,apicalisé,apicalisé,apicalisés,apicalisée,apicalisées,,,,,
2834,apiciflore,,,,,apiciflore,apiciflores,,,
2835,apiciforme,,,,,apiciforme,apiciformes,,,
2836,apico-alvéolaire,,,,,apico-alvéolaire,,,,
2837,apico-dental,,apico-dentaux,apico-dentale,apico-dentales,,,,,
2838,apicodental,apicodental,apicodentaux,apicodentale,apicodentales,,,,,
2839,apicolabial,apicolabial,apicolabiaux,apico-labiale,apicolabiales,,,,,
2840,apicole,,,,,apicole,apicoles,,,
2841,apicultural,apicultural,apiculturaux,apiculturale,apiculturales,,,,,
2842,apiculé,apiculé,apiculés,apiculée,apiculées,,,,,
2843,apide,,,,,apide,apides,,,
2844,apien,apien,apiens,apienne,apiennes,,,,,
2845,apiforme,,,,,apiforme,apiformes,,,
2846,apifuge,,,,,apifuge,apifuges,,,
2847,apiqué,apiqué,apiqués,apiquée,apiquées,,,,,
2848,apitoyable,,,,,apitoyable,apitoyables,,,
2849,apitoyant,apitoyant,apitoyants,apitoyante,apitoyantes,,,,,
2850,apitoyé,apitoyé,apitoyés,apitoyée,apitoyées,,,,,
2851,apivore,,,,,apivore,apivores,,,
2852,aplacentaire,,,,,aplacentaire,aplacentaires,,,
2853,aplani,aplani,aplanis,aplanie,aplanies,,,,,
2854,aplanétique,,,,,aplanétique,aplanétiques,,,
2855,aplasique,,,,,aplasique,aplasiques,,,
2856,aplastique,,,,,aplastique,aplastiques,,,
2857,aplati,aplati,aplatis,aplatie,aplaties,,,,,
2858,aplatissant,aplatissant,aplatissants,aplatissante,aplatissantes,,,,,
2859,apneustique,,,,,apneustique,apneustiques,,,
2860,apocalyptique,,,,,apocalyptique,apocalyptiques,,,
2861,apocarpe,apocarpe,,,,,,,,
2862,apocarpique,,,,,apocarpique,apocarpiques,,,
2863,apocholique,apocholique,,,,,,,,
2864,apochromatique,,,,,apochromatique,apochromatiques,,,
2865,apocopé,apocopé,apocopés,apocopée,apocopées,,,,,
2866,apocryphe,,,,,apocryphe,apocryphes,,,
2867,apocynacée,,,,,apocynacée,apocynacées,,,
2868,apocytaire,,,,,apocytaire,apocytaires,,,
2869,apodactylique,apodactylique,,,,,,,,
2870,apode,,,,,apode,apodes,,,
2871,apodictique,,,,,apodictique,apodictiques,,,
2872,apogamique,,,,,apogamique,apogamiques,,,
2873,apolaire,,,,,apolaire,apolaires,,,
2874,apolitique,,,,,apolitique,apolitiques,,,
2875,apollinaire,,,,,apollinaire,apollinaires,,,
2876,apollinarien,apollinarien,apollinariens,apollinarienne,apollinariennes,,,,,
2877,apollinariste,,,,,apollinariste,apollinaristes,,,
2878,apollinien,apollinien,apolliniens,apollinienne,apolliniennes,,,,,
2879,apollonien,apollonien,apolloniens,apollonienne,apolloniennes,,,,,
2880,apologique,,,,,apologique,apologiques,,,
2881,apologétique,,,,,apologétique,apologétiques,,,
2882,apolytique,,,,,apolytique,apolytiques,,,
2883,apomorphe,,,,,apomorphe,apomorphes,,,
2884,aponiché,aponiché,aponichés,aponichée,aponichées,,,,,
2885,aponévrotique,,,,,aponévrotique,aponévrotiques,,,
2886,apophantique,,,,,apophantique,apophantiques,,,
2887,apophatique,,,,,apophatique,apophatiques,,,
2888,apophtegmatique,,,,,apophtegmatique,apophtegmatiques,,,
2889,apophysaire,,,,,apophysaire,apophysaires,,,
2890,apoplectiforme,,,,,apoplectiforme,apoplectiformes,,,
2891,apoplectique,,,,,apoplectique,apoplectiques,,,
2892,apoplectisé,apoplectisé,apoplectisés,apoplectisée,apoplectisées,,,,,
2893,apoplectoïde,,,,,apoplectoïde,apoplectoïdes,,,
2894,aporétique,,,,,aporétique,aporétiques,,,
2895,aposporique,,,,,aposporique,aposporiques,,,
2896,apostat,apostat,apostats,apostate,apostates,,,,,
2897,apostillé,apostillé,apostillés,apostillée,apostillées,,,,,
2898,apostolique,,,,,apostolique,apostoliques,,,
2899,apostrophé,apostrophé,apostrophés,apostrophée,apostrophées,,,,,
2900,aposté,aposté,apostés,apostée,apostées,,,,,
2901,apostériorique,,,,,apostériorique,apostérioriques,,,
2902,apostérioriste,,,,,apostérioriste,apostérioristes,,,
2903,aposématique,,,,,aposématique,aposématiques,,,
2904,apothéotique,,,,,apothéotique,apothéotiques,,,
2905,apotropaïque,,,,,apotropaïque,apotropaïques,,,
2906,apotropéen,apotropéen,apotropéens,apotropéenne,apotropéennes,,,,,
2907,apotélesmatique,,,,,apotélesmatique,apotélesmatiques,,,
2908,apoétique,,,,,apoétique,apoétiques,,,
2909,appairé,appairé,appairés,appairée,appairées,,,,,
2910,appalachien,appalachien,appalachiens,appalachienne,appalachiennes,,,,,
2911,appareillable,,,,,appareillable,appareillables,,,
2912,appareillé,appareillé,appareillés,appareillée,appareillées,,,,,
2913,apparent,apparent,apparents,apparente,apparentes,,,,,
2914,apparenté,apparenté,apparentés,apparentée,apparentées,,,,,
2915,apparieur,apparieur,apparieurs,apparieuse,apparieuses,,,,,
2916,apparié,apparié,appariés,appariée,appariées,,,,,
2917,appartenant,appartenant,appartenants,appartenante,appartenantes,,,,,
2918,apparu,apparu,apparus,apparue,apparues,,,,,
2919,appassionné,appassionné,appassionnés,appassionnée,appassionnées,,,,,
2920,appaumé,appaumé,appaumés,appaumée,appaumées,,,,,
2921,appauvri,appauvri,appauvris,appauvrie,appauvries,,,,,
2922,appauvrissant,appauvrissant,appauvrissants,appauvrissante,appauvrissantes,,,,,
2923,appelable,,,,,appelable,appelables,,,
2924,appelant,appelant,appelants,appelante,appelantes,,,,,
2925,appeleur,appeleur,appeleurs,,,,,,,
2926,appellatif,appellatif,appellatifs,appellative,appellatives,,,,,
2927,appelé,appelé,appelés,appelée,appelées,,,,,
2928,appendiculaire,,,,,appendiculaire,appendiculaires,,,
2929,appendiculé,appendiculé,appendiculés,appendiculée,appendiculées,,,,,
2930,appert,appert,apperts,apperte,appertes,,,,,
2931,appesanti,appesanti,appesantis,appesantie,appesanties,,,,,
2932,applaudi,applaudi,applaudis,applaudie,applaudies,,,,,
2933,applaudissable,,,,,applaudissable,applaudissables,,,
2934,applicable,,,,,applicable,applicables,,,
2935,applicateur,applicateur,applicateurs,applicatrice,applicatrices,,,,,
2936,applicatif,applicatif,applicatifs,applicative,applicatives,,,,,
2937,appliqué,appliqué,appliqués,appliquée,appliquées,,,,,
2938,appointé,appointé,appointés,appointée,appointées,,,,,
2939,apponté,apponté,appontés,appontée,appontées,,,,,
2940,apporteur,apporteur,apporteurs,apporteuse,apporteuses,,,,,
2941,apporté,apporté,apportés,apportée,apportées,,,,,
2942,appositif,appositif,appositifs,appositive,appositives,,,,,
2943,apposé,apposé,apposés,apposée,apposées,,,,,
2944,apprenant,apprenant,apprenants,apprenante,apprenantes,,,,,
2945,appris,,,apprise,apprises,,,appris,,
2946,apprivoisable,,,,,apprivoisable,apprivoisables,,,
2947,apprivoiseur,apprivoiseur,apprivoiseurs,apprivoiseuse,apprivoiseuses,,,,,
2948,apprivoisé,apprivoisé,apprivoisés,apprivoisée,apprivoisées,,,,,
2949,approbateur,approbateur,approbateurs,approbatrice,approbatrices,,,,,
2950,approbatif,approbatif,approbatifs,approbative,approbatives,,,,,
2951,approchable,,,,,approchable,approchables,,,
2952,approchant,approchant,approchants,approchante,approchantes,,,,,
2953,approché,approché,approchés,approchée,approchées,,,,,
2954,approfondi,approfondi,approfondis,approfondie,approfondies,,,,,
2955,approfondissant,approfondissant,approfondissants,approfondissante,approfondissantes,,,,,
2956,appropriable,,,,,appropriable,appropriables,,,
2957,appropriatif,appropriatif,appropriatifs,appropriative,appropriatives,,,,,
2958,approprié,approprié,appropriés,appropriée,appropriées,,,,,
2959,approuvable,,,,,approuvable,approuvables,,,
2960,approuvé,approuvé,approuvés,approuvée,approuvées,,,,,
2961,approvisionneur,approvisionneur,approvisionneurs,approvisionneuse,approvisionneuses,,,,,
