"Word","lemme","cgram","freqlemlivres"
"bureaux","bureau","NOM","150.07"
"lendemain","lendemain","NOM","149.26"
"lendemains","lendemain","NOM","149.26"
"escalier","escalier","NOM","148.85"
"escaliers","escalier","NOM","148.85"
"robe","robe","NOM","148.18"
"robes","robe","NOM","148.18"
"armée","armée","NOM","146.55"
"armées","armée","NOM","146.55"
"parent","parent","NOM","146.35"
"parente","parent","NOM","146.35"
"parentes","parent","NOM","146.35"
"parents","parent","NOM","146.35"
"ton","ton","NOM","146.35"
"tons","ton","NOM","146.35"
"poche","poche","NOM","146.28"
"poches","poche","NOM","146.28"
"église","église","NOM","145.07"
"églises","église","NOM","145.07"
"maman","maman","NOM","144.39"
"mamans","maman","NOM","144.39"
"vue","vue","NOM","144.39"
"vues","vue","NOM","144.39"
"village","village","NOM","143.99"
"villages","village","NOM","143.99"
"école","école","NOM","143.99"
"écoles","école","NOM","143.99"
"service","service","NOM","142.77"
"services","service","NOM","142.77"
"ventre","ventre","NOM","141.96"
"ventres","ventre","NOM","141.96"
"goût","goût","NOM","141.82"
"goûts","goût","NOM","141.82"
"espèce","espèce","NOM","141.69"
"espèces","espèce","NOM","141.69"
"début","début","NOM","141.49"
"débuts","début","NOM","141.49"
"présent","présent","NOM","141.01"
"présents","présent","NOM","141.01"
"vérité","vérité","NOM","140.88"
"vérités","vérité","NOM","140.88"
"phrase","phrase","NOM","140.47"
"phrases","phrase","NOM","140.47"
"voyage","voyage","NOM","140.07"
"voyages","voyage","NOM","140.07"
"époque","époque","NOM","138.51"
"époques","époque","NOM","138.51"
"feuille","feuille","NOM","138.04"
"feuilles","feuille","NOM","138.04"
"endroit","endroit","NOM","137.57"
"endroits","endroit","NOM","137.57"
"effort","effort","NOM","136.62"
"efforts","effort","NOM","136.62"
"chance","chance","NOM","136.35"
"chances","chance","NOM","136.35"
"accord","accord","NOM","136.15"
"accords","accord","NOM","136.15"
"intérieur","intérieur","NOM","135.88"
"intérieurs","intérieur","NOM","135.88"
"présence","présence","NOM","135.54"
"présences","présence","NOM","135.54"
"cuisine","cuisine","NOM","135.41"
"cuisines","cuisine","NOM","135.41"
"gauche","gauche","NOM","134.59"
"gauches","gauche","NOM","134.59"
"boîte","boîte","NOM","134.05"
"boîtes","boîte","NOM","134.05"
"larme","larme","NOM","133.51"
"larmes","larme","NOM","133.51"
"siècle","siècle","NOM","132.91"
"siècles","siècle","NOM","132.91"
"mesure","mesure","NOM","132.84"
"mesures","mesure","NOM","132.84"
"patron","patron","NOM","132.43"
"patronne","patron","NOM","132.43"
"patronnes","patron","NOM","132.43"
"patrons","patron","NOM","132.43"
"gouvernement","gouvernement","NOM","132.03"
"gouvernements","gouvernement","NOM","132.03"
"rapport","rapport","NOM","130.95"
"rapports","rapport","NOM","130.95"
"chat","chat","NOM","130.74"
"chats","chat","NOM","130.74"
"chatte","chat","NOM","130.74"
"chattes","chat","NOM","130.74"
"mètre","mètre","NOM","130.07"
"mètres","mètre","NOM","130.07"
"or","or","NOM","130"
"ors","or","NOM","130"
"soldat","soldat","NOM","128.92"
"soldate","soldat","NOM","128.92"
"soldats","soldat","NOM","128.92"
"rêve","rêve","NOM","128.58"
"rêves","rêve","NOM","128.58"
"genou","genou","NOM","127.91"
"genoux","genou","NOM","127.91"
"oncle","oncle","NOM","127.7"
"oncles","oncle","NOM","127.7"
"grand","grand","NOM","127.64"
"grande","grand","NOM","127.64"
"grandes","grand","NOM","127.64"
"grands","grand","NOM","127.64"
"exemple","exemple","NOM","126.62"
"exemples","exemple","NOM","126.62"
"langue","langue","NOM","126.28"
"langues","langue","NOM","126.28"
"contraire","contraire","NOM","126.01"
"contraires","contraire","NOM","126.01"
"dent","dent","NOM","125.68"
"dents","dent","NOM","125.68"
"été","été","NOM","125.47"
"étés","été","NOM","125.47"
"haut","haut","NOM","125.07"
"hauts","haut","NOM","125.07"
"attention","attention","NOM","124.53"
"attentions","attention","NOM","124.53"
"objet","objet","NOM","124.32"
"objets","objet","NOM","124.32"
"mari","mari","NOM","124.26"
"maris","mari","NOM","124.26"
"hasard","hasard","NOM","124.19"
"hasards","hasard","NOM","124.19"
"départ","départ","NOM","123.04"
"départs","départ","NOM","123.04"
"pluie","pluie","NOM","122.57"
"pluies","pluie","NOM","122.57"
"être","être","NOM","122.57"
"êtres","être","NOM","122.57"
"groupe","groupe","NOM","122.5"
"groupes","groupe","NOM","122.5"
"joue","joue","NOM","121.76"
"joues","joue","NOM","121.76"
"seconde","seconde","NOM","121.49"
"secondes","seconde","NOM","121.49"
"bas","bas","NOM","119.86"
"entrée","entrée","NOM","118.78"
"entrées","entrée","NOM","118.78"
"herbe","herbe","NOM","118.51"
"herbes","herbe","NOM","118.51"
"tante","tante","NOM","118.38"
"tantes","tante","NOM","118.38"
"chaise","chaise","NOM","118.31"
"chaises","chaise","NOM","118.31"
"droite","droite","NOM","117.97"
"droites","droite","NOM","117.97"
"bête","bête","NOM","117.36"
"bêtes","bête","NOM","117.36"
"désir","désir","NOM","117.09"
"désirs","désir","NOM","117.09"
"noir","noir","NOM","116.89"
"noire","noir","NOM","116.89"
"noires","noir","NOM","116.89"
"noirs","noir","NOM","116.89"
"chaleur","chaleur","NOM","116.22"
"chaleurs","chaleur","NOM","116.22"
"page","page","NOM","115.54"
"pages","page","NOM","115.54"
"conversation","conversation","NOM","115.34"
"conversations","conversation","NOM","115.34"
"cou","cou","NOM","115.34"
"cous","cou","NOM","115.34"
"cigarette","cigarette","NOM","114.93"
"cigarettes","cigarette","NOM","114.93"
"scène","scène","NOM","114.93"
"scènes","scène","NOM","114.93"
"sommeil","sommeil","NOM","114.8"
"sommeils","sommeil","NOM","114.8"
"musique","musique","NOM","114.32"
"musiques","musique","NOM","114.32"
"fer","fer","NOM","114.19"
"fers","fer","NOM","114.19"
"fère","fer","NOM","114.19"
"avenir","avenir","NOM","113.72"
"avenirs","avenir","NOM","113.72"
"passé","passé","NOM","113.51"
"passés","passé","NOM","113.51"
"forêt","forêt","NOM","113.31"
"forêts","forêt","NOM","113.31"
"oiseau","oiseau","NOM","113.04"
"oiseaux","oiseau","NOM","113.04"
"côte","côte","NOM","112.5"
"côtes","côte","NOM","112.5"
"foule","foule","NOM","112.3"
"foules","foule","NOM","112.3"
"quartier","quartier","NOM","112.16"
"quartiers","quartier","NOM","112.16"
"garde","garde","NOM","112.09"
"gardes","garde","NOM","112.09"
"ennemi","ennemi","NOM","111.96"
"ennemie","ennemi","NOM","111.96"
"ennemies","ennemi","NOM","111.96"
"ennemis","ennemi","NOM","111.96"
"arme","arme","NOM","111.49"
"armes","arme","NOM","111.49"
"carte","carte","NOM","111.42"
"cartes","carte","NOM","111.42"
"mémoire","mémoire","NOM","110.88"
"mémoires","mémoire","NOM","110.88"
"vin","vin","NOM","110.47"
"vins","vin","NOM","110.47"
"gueule","gueule","NOM","109.93"
"gueules","gueule","NOM","109.93"
"classe","classe","NOM","108.92"
"classes","classe","NOM","108.92"
"trou","trou","NOM","108.38"
"trous","trou","NOM","108.38"
"île","île","NOM","108.24"
"îles","île","NOM","108.24"
"direction","direction","NOM","108.04"
"directions","direction","NOM","108.04"
"pouvoir","pouvoir","NOM","107.91"
"pouvoirs","pouvoir","NOM","107.91"
"prix","prix","NOM","107.5"
"peuple","peuple","NOM","107.3"
"peuples","peuple","NOM","107.3"
"campagne","campagne","NOM","107.23"
"campagnes","campagne","NOM","107.23"
"moyen","moyen","NOM","107.03"
"moyens","moyen","NOM","107.03"
"toile","toile","NOM","106.62"
"toiles","toile","NOM","106.62"
"champ","champ","NOM","106.49"
"champ'","champ","NOM","106.49"
"champs","champ","NOM","106.49"
"propos","propos","NOM","106.28"
"occasion","occasion","NOM","105.74"
"occasions","occasion","NOM","105.74"
"sujet","sujet","NOM","105.74"
"sujets","sujet","NOM","105.74"
"pain","pain","NOM","105.41"
"pains","pain","NOM","105.41"
"troupe","troupe","NOM","105.41"
"troupes","troupe","NOM","105.41"
"situation","situation","NOM","104.86"
"situations","situation","NOM","104.86"
"couloir","couloir","NOM","104.53"
"couloirs","couloir","NOM","104.53"
"poitrine","poitrine","NOM","104.46"
"poitrines","poitrine","NOM","104.46"
"bouteille","bouteille","NOM","104.05"
"bouteilles","bouteille","NOM","104.05"
"enfance","enfance","NOM","103.99"
"enfances","enfance","NOM","103.99"
"paix","paix","NOM","103.72"
"copain","copain","NOM","103.38"
"copains","copain","NOM","103.38"
"copine","copain","NOM","103.38"
"copines","copain","NOM","103.38"
"fauteuil","fauteuil","NOM","102.03"
"fauteuils","fauteuil","NOM","102.03"
"espoir","espoir","NOM","101.89"
"espoirs","espoir","NOM","101.89"
"chair","chair","NOM","101.69"
"chairs","chair","NOM","101.69"
"prince","prince","NOM","101.22"
"princes","prince","NOM","101.22"
"princesse","prince","NOM","101.22"
"princesses","prince","NOM","101.22"
"salon","salon","NOM","101.22"
"salons","salon","NOM","101.22"
"dimanche","dimanche","NOM","101.15"
"dimanches","dimanche","NOM","101.15"
"souffle","souffle","NOM","100.2"
"souffles","souffle","NOM","100.2"
"colère","colère","NOM","100.07"
"colères","colère","NOM","100.07"
"réponse","réponse","NOM","99.93"
"réponses","réponse","NOM","99.93"
"fil","fil","NOM","99.73"
"fils","fil","NOM","99.73"
"hiver","hiver","NOM","99.53"
"hivers","hiver","NOM","99.53"
"morceau","morceau","NOM","99.32"
"morceaux","morceau","NOM","99.32"
"visite","visite","NOM","99.32"
"visites","visite","NOM","99.32"
"appartement","appartement","NOM","99.26"
"appartements","appartement","NOM","99.26"
"camarade","camarade","NOM","98.99"
"camarades","camarade","NOM","98.99"
"roi","roi","NOM","98.92"
"rois","roi","NOM","98.92"
"liberté","liberté","NOM","97.97"
"libertés","liberté","NOM","97.97"
"existence","existence","NOM","97.36"
"existences","existence","NOM","97.36"
"honneur","honneur","NOM","97.36"
"honneurs","honneur","NOM","97.36"
"intérêt","intérêt","NOM","97.36"
"intérêts","intérêt","NOM","97.36"
"trait","trait","NOM","97.3"
"traits","trait","NOM","97.3"
"camp","camp","NOM","97.23"
"camps","camp","NOM","97.23"
"compagnie","compagnie","NOM","97.16"
"compagnies","compagnie","NOM","97.16"
"rôle","rôle","NOM","96.96"
"rôles","rôle","NOM","96.96"
"téléphone","téléphone","NOM","96.82"
"téléphones","téléphone","NOM","96.82"
"sable","sable","NOM","96.55"
"sables","sable","NOM","96.55"
"étage","étage","NOM","96.55"
"étages","étage","NOM","96.55"
"grand-père","grand-père","NOM","96.49"
"grands-pères","grand-père","NOM","96.49"
"secret","secret","NOM","96.01"
"secrets","secret","NOM","96.01"
"nature","nature","NOM","95.88"
"natures","nature","NOM","95.88"
"figure","figure","NOM","95.34"
"figures","figure","NOM","95.34"
"faute","faute","NOM","95.2"
"fautes","faute","NOM","95.2"
"arrière","arrière","NOM","95"
"arrières","arrière","NOM","95"
"problème","problème","NOM","95"
"problèmes","problème","NOM","95"
"balle","balle","NOM","94.59"
"balles","balle","NOM","94.59"
"grand-mère","grand-mère","NOM","94.59"
"grand-mères","grand-mère","NOM","94.59"
"grands-mères","grand-mère","NOM","94.59"
"photo","photo","NOM","94.59"
"photos","photo","NOM","94.59"
"fête","fête","NOM","94.05"
"fêtes","fête","NOM","94.05"
"lampe","lampe","NOM","93.11"
"lampes","lampe","NOM","93.11"
"beauté","beauté","NOM","92.64"
"beautés","beauté","NOM","92.64"
"malheur","malheur","NOM","92.64"
"malheurs","malheur","NOM","92.64"
"capitaine","capitaine","NOM","92.57"
"capitaines","capitaine","NOM","92.57"
"oeuvre","oeuvre","NOM","92.23"
"oeuvres","oeuvre","NOM","92.23"
"confiance","confiance","NOM","91.96"
"confiances","confiance","NOM","91.96"
"douleur","douleur","NOM","91.89"
"douleurs","douleur","NOM","91.89"
"toit","toit","NOM","91.76"
"toits","toit","NOM","91.76"
"condition","condition","NOM","91.62"
"conditions","condition","NOM","91.62"
"allemand","allemand","NOM","91.55"
"allemande","allemand","NOM","91.55"
