"Word","lemme","cgram","freqlemlivres"
"morts","mort","ADJ","113.18"
"neuf","neuf","ADJ","113.18"
"neuf","neuf","ADJ:num","113.18"
"neufs","neuf","ADJ","113.18"
"neuve","neuf","ADJ","113.18"
"neuves","neuf","ADJ","113.18"
"frais","frais","ADJ","111.69"
"fraîche","frais","ADJ","111.69"
"fraîches","frais","ADJ","111.69"
"humain","humain","ADJ","111.55"
"humaine","humain","ADJ","111.55"
"humaines","humain","ADJ","111.55"
"humains","humain","ADJ","111.55"
"jaune","jaune","ADJ","109.86"
"jaunes","jaune","ADJ","109.86"
"fausse","faux","ADJ","109.59"
"fausses","faux","ADJ","109.59"
"faux","faux","ADJ","109.59"
"court","court","ADJ","108.99"
"courte","court","ADJ","108.99"
"courtes","court","ADJ","108.99"
"courts","court","ADJ","108.99"
"large","large","ADJ","107.5"
"larges","large","ADJ","107.5"
"immense","immense","ADJ","106.89"
"immenses","immense","ADJ","106.89"
"profond","profond","ADJ","105.74"
"profonde","profond","ADJ","105.74"
"profondes","profond","ADJ","105.74"
"profonds","profond","ADJ","105.74"
"triste","triste","ADJ","105.61"
"tristes","triste","ADJ","105.61"
"étrange","étrange","ADJ","103.58"
"étranges","étrange","ADJ","103.58"
"huit","huit","ADJ:num","102.5"
"sale","sale","ADJ","102.03"
"sales","sale","ADJ","102.03"
"certains","certains","ADJ:ind","101.28"
"facile","facile","ADJ","98.65"
"faciles","facile","ADJ","98.65"
"national","national","ADJ","98.04"
"nationale","national","ADJ","98.04"
"nationales","national","ADJ","98.04"
"nationaux","national","ADJ","98.04"
"fin","fin","ADJ","97.97"
"fine","fin","ADJ","97.97"
"fines","fin","ADJ","97.97"
"fins","fin","ADJ","97.97"
"militaire","militaire","ADJ","96.22"
"militaires","militaire","ADJ","96.22"
"rose","rose","ADJ","96.08"
"roses","rose","ADJ","96.08"
"impossible","impossible","ADJ","96.01"
"impossibles","impossible","ADJ","96.01"
"général","général","ADJ","95.41"
"générale","général","ADJ","95.41"
"générales","général","ADJ","95.41"
"généraux","général","ADJ","95.41"
"drôle","drôle","ADJ","95.07"
"drôles","drôle","ADJ","95.07"
"vif","vif","ADJ","95.07"
"vifs","vif","ADJ","95.07"
"vive","vif","ADJ","95.07"
"vives","vif","ADJ","95.07"
"quinze","quinze","ADJ:num","94.8"
"grave","grave","ADJ","93.78"
"graves","grave","ADJ","93.78"
"vivant","vivant","ADJ","92.23"
"vivante","vivant","ADJ","92.23"
"vivantes","vivant","ADJ","92.23"
"vivants","vivant","ADJ","92.23"
"différent","différent","ADJ","92.03"
"différente","différent","ADJ","92.03"
"différentes","différent","ADJ","92.03"
"différents","différent","ADJ","92.03"
"lointain","lointain","ADJ","91.96"
"lointaine","lointain","ADJ","91.96"
"lointaines","lointain","ADJ","91.96"
"lointains","lointain","ADJ","91.96"
"tranquille","tranquille","ADJ","91.96"
"tranquilles","tranquille","ADJ","91.96"
"épais","épais","ADJ","90.61"
"épaisse","épais","ADJ","90.61"
"épaisses","épais","ADJ","90.61"
"pur","pur","ADJ","90.34"
"pure","pur","ADJ","90.34"
"pures","pur","ADJ","90.34"
"purs","pur","ADJ","90.34"
"gauche","gauche","ADJ","89.59"
"gauches","gauche","ADJ","89.59"
"second","second","ADJ","88.58"
"seconde","second","ADJ","88.58"
"secondes","second","ADJ","88.58"
"seconds","second","ADJ","88.58"
"terrible","terrible","ADJ","88.11"
"terribles","terrible","ADJ","88.11"
"rare","rare","ADJ","87.23"
"rares","rare","ADJ","87.23"
"meilleur","meilleur","ADJ","86.82"
"meilleure","meilleur","ADJ","86.82"
"meilleures","meilleur","ADJ","86.82"
"meilleurs","meilleur","ADJ","86.82"
"important","important","ADJ","86.76"
"importante","important","ADJ","86.76"
"importantes","important","ADJ","86.76"
"importants","important","ADJ","86.76"
"allemand","allemand","ADJ","86.55"
"allemande","allemand","ADJ","86.55"
"allemandes","allemand","ADJ","86.55"
"allemands","allemand","ADJ","86.55"
"content","content","ADJ","86.49"
"contente","content","ADJ","86.49"
"contentes","content","ADJ","86.49"
"contents","content","ADJ","86.49"
"capable","capable","ADJ","86.35"
"capables","capable","ADJ","86.35"
"pâle","pâle","ADJ","83.58"
"pâles","pâle","ADJ","83.58"
"secret","secret","ADJ","83.11"
"secrets","secret","ADJ","83.11"
"secrète","secret","ADJ","83.11"
"secrètes","secret","ADJ","83.11"
"proche","proche","ADJ","82.91"
"proches","proche","ADJ","82.91"
"présent","présent","ADJ","80.74"
"présente","présent","ADJ","80.74"
"présentes","présent","ADJ","80.74"
"présents","présent","ADJ","80.74"
"cents","cents","ADJ:num","80.54"
"trente","trente","ADJ:num","79.12"
"mince","mince","ADJ","78.51"
"minces","mince","ADJ","78.51"
"rond","rond","ADJ","78.51"
"ronde","rond","ADJ","78.51"
"rondes","rond","ADJ","78.51"
"ronds","rond","ADJ","78.51"
"blond","blond","ADJ","76.76"
"blonde","blond","ADJ","76.76"
"blondes","blond","ADJ","76.76"
"blonds","blond","ADJ","76.76"
"commun","commun","ADJ","75.95"
"commune","commun","ADJ","75.95"
"communes","commun","ADJ","75.95"
"communs","commun","ADJ","75.95"
"étroit","étroit","ADJ","75.81"
"étroite","étroit","ADJ","75.81"
"étroites","étroit","ADJ","75.81"
"étroits","étroit","ADJ","75.81"
"naturel","naturel","ADJ","75.68"
