,Word,lemme,cgram,genre,freqlemlivres
440,souriant,souriant,ADJ,m,23.45
442,fatal,fatal,ADJ,m,23.38
444,étonné,étonné,ADJ,m,23.31
445,étonnés,étonné,ADJ,m,23.31
446,innocent,innocent,ADJ,m,23.11
447,innocents,innocent,ADJ,m,23.11
448,amical,amical,ADJ,m,23.04
449,amicaux,amical,ADJ,m,23.04
450,essentiel,essentiel,ADJ,m,23.04
451,essentiels,essentiel,ADJ,m,23.04
452,subtil,subtil,ADJ,m,22.91
453,subtils,subtil,ADJ,m,22.91
454,cassé,cassé,ADJ,m,22.84
455,cassés,cassé,ADJ,m,22.84
456,local,local,ADJ,m,22.84
457,locaux,local,ADJ,m,22.84
458,pourri,pourri,ADJ,m,22.84
459,pourris,pourri,ADJ,m,22.84
460,grossier,grossier,ADJ,m,22.57
461,grossiers,grossier,ADJ,m,22.57
462,mou,mou,ADJ,m,22.5
463,mous,mou,ADJ,m,22.5
465,massif,massif,ADJ,m,22.3
466,massifs,massif,ADJ,m,22.3
467,nouvel,nouvel,ADJ,m,22.23
468,ardent,ardent,ADJ,m,21.89
470,privé,privé,ADJ,m,21.89
471,privés,privé,ADJ,m,21.89
472,naïf,naïf,ADJ,m,21.62
473,naïfs,naïf,ADJ,m,21.62
474,pointu,pointu,ADJ,m,21.62
475,pointus,pointu,ADJ,m,21.62
477,chrétien,chrétien,ADJ,m,21.55
478,chrétiens,chrétien,ADJ,m,21.55
479,romain,romain,ADJ,m,21.55
480,romains,romain,ADJ,m,21.55
481,géant,géant,ADJ,m,21.42
482,géants,géant,ADJ,m,21.42
483,singulier,singulier,ADJ,m,21.42
484,singuliers,singulier,ADJ,m,21.42
485,aérien,aérien,ADJ,m,21.15
486,aériens,aérien,ADJ,m,21.15
487,armé,armé,ADJ,m,21.08
488,armés,armé,ADJ,m,21.08
491,incertain,incertain,ADJ,m,20.95
493,inquiétant,inquiétant,ADJ,m,20.88
494,inquiétants,inquiétant,ADJ,m,20.88
496,peint,peint,ADJ,m,20.74
497,peints,peint,ADJ,m,20.74
498,rempli,rempli,ADJ,m,20.74
499,remplis,rempli,ADJ,m,20.74
500,actuel,actuel,ADJ,m,20.68
501,actuels,actuel,ADJ,m,20.68
502,professionnel,professionnel,ADJ,m,20.61
503,professionnels,professionnel,ADJ,m,20.61
504,sexuel,sexuel,ADJ,m,20.54
505,sexuels,sexuel,ADJ,m,20.54
506,prudent,prudent,ADJ,m,20.41
507,prudents,prudent,ADJ,m,20.41
508,malin,malin,ADJ,m,20.2
509,malins,malin,ADJ,m,20.2
510,courant,courant,ADJ,m,20.14
511,courants,courant,ADJ,m,20.14
513,éclatant,éclatant,ADJ,m,20.14
515,exceptionnel,exceptionnel,ADJ,m,20.07
516,exceptionnels,exceptionnel,ADJ,m,20.07
519,arrivé,arrivé,ADJ,m,20.0
