Unnamed: 0,Word,lemme,cgram,genre,freqlemlivres,number
5127,préventif,préventif,ADJ,m,1.22,singular
5145,sélectif,sélectif,ADJ,m,1.22,singular
5354,dégradants,dégradant,ADJ,m,1.08,plural
5407,proportionnel,proportionnel,ADJ,m,1.08,singular
5448,éducatif,éducatif,ADJ,m,1.08,singular
5449,éducatifs,éducatif,ADJ,m,1.08,plural
5494,expérimental,expérimental,ADJ,m,1.01,singular
5495,expérimentaux,expérimental,ADJ,m,1.01,plural
5600,adjacent,adjacent,ADJ,m,0.95,singular
5601,adjacents,adjacent,ADJ,m,0.95,plural
5661,dépendants,dépendant,ADJ,m,0.95,plural
5699,lucratif,lucratif,ADJ,m,0.95,singular
5880,répétitif,répétitif,ADJ,m,0.88,singular
6004,minimal,minimal,ADJ,m,0.81,singular
6013,parental,parental,ADJ,m,0.81,singular
6021,productif,productif,ADJ,m,0.81,singular
6022,productifs,productif,ADJ,m,0.81,plural
6055,trimestriel,trimestriel,ADJ,m,0.81,singular
6056,trimestriels,trimestriel,ADJ,m,0.81,plural
6405,incorrect,incorrect,ADJ,m,0.68,singular
6484,radioactifs,radioactif,ADJ,m,0.68,plural
6676,maximal,maximal,ADJ,m,0.61,singular
6760,viral,viral,ADJ,m,0.61,singular
6761,viraux,viral,ADJ,m,0.61,plural
6836,exhaustif,exhaustif,ADJ,m,0.54,singular
6896,lesdits,lesdits,ADJ,m,0.54,plural
6899,longitudinal,longitudinal,ADJ,m,0.54,singular
7059,coopératif,coopératif,ADJ,m,0.47,singular
7104,facultatif,facultatif,ADJ,m,0.47,singular
7463,nutritifs,nutritif,ADJ,m,0.41,plural
7480,performants,performant,ADJ,m,0.41,plural
7525,récurrent,récurrent,ADJ,m,0.41,singular
7526,récurrents,récurrent,ADJ,m,0.41,plural
7591,émotionnel,émotionnel,ADJ,m,0.41,singular
7600,additionnel,additionnel,ADJ,m,0.34,singular
7601,additionnels,additionnel,ADJ,m,0.34,plural
7609,afférents,afférent,ADJ,m,0.34,plural
7639,bilatéral,bilatéral,ADJ,m,0.34,singular
7640,bilatéraux,bilatéral,ADJ,m,0.34,plural
7661,cantonal,cantonal,ADJ,m,0.34,singular
7672,collégial,collégial,ADJ,m,0.34,singular
7738,festif,festif,ADJ,m,0.34,singular
7834,narratif,narratif,ADJ,m,0.34,singular
7849,optimal,optimal,ADJ,m,0.34,singular
7851,opérationnel,opérationnel,ADJ,m,0.34,singular
7852,opérationnels,opérationnel,ADJ,m,0.34,plural
7858,patrimonial,patrimonial,ADJ,m,0.34,singular
7917,sous-jacent,sous-jacent,ADJ,m,0.34,singular
8096,convivial,convivial,ADJ,m,0.27,singular
8242,institutionnel,institutionnel,ADJ,m,0.27,singular
8243,institutionnels,institutionnel,ADJ,m,0.27,plural
8482,axial,axial,ADJ,m,0.2,singular
8564,cutané,cutané,ADJ,m,0.2,singular
8951,évolutif,évolutif,ADJ,m,0.2,singular
9105,conceptuel,conceptuel,ADJ,m,0.14,singular
9111,concurrentiel,concurrentiel,ADJ,m,0.14,singular
9112,concurrentiels,concurrentiel,ADJ,m,0.14,plural
9516,promotionnel,promotionnel,ADJ,m,0.14,singular
9519,préférentiel,préférentiel,ADJ,m,0.14,singular
9568,sectoriels,sectoriel,ADJ,m,0.14,plural
9785,associatifs,associatif,ADJ,m,0.07,plural
9913,cognitif,cognitif,ADJ,m,0.07,singular
9914,cognitifs,cognitif,ADJ,m,0.07,plural
10404,nutritionnel,nutritionnel,ADJ,m,0.07,singular
10522,prévisionnel,prévisionnel,ADJ,m,0.07,singular
11011,compétitif,compétitif,ADJ,m,0.0,singular
11012,compétitifs,compétitif,ADJ,m,0.0,plural
11085,décisionnel,décisionnel,ADJ,m,0.0,singular
11111,environnemental,environnemental,ADJ,m,0.0,singular
11112,environnementaux,environnemental,ADJ,m,0.0,plural
11232,informatif,informatif,ADJ,m,0.0,singular
11250,interactif,interactif,ADJ,m,0.0,singular
11251,interactifs,interactif,ADJ,m,0.0,plural
11258,intergouvernemental,intergouvernemental,ADJ,m,0.0,singular
11289,jolie,jolie,ADJ,m,0.0,singular
11443,ord,ord,ADJ,m,0.0,singular
11492,pluriannuel,pluriannuel,ADJ,m,0.0,singular
11575,relationnel,relationnel,ADJ,m,0.0,singular
11603,salariaux,salarial,ADJ,m,0.0,plural
11636,sociétal,sociétal,ADJ,m,0.0,singular
11662,structurel,structurel,ADJ,m,0.0,singular
11663,structurels,structurel,ADJ,m,0.0,plural
11801,vraies,vrai,ADJ,f,430.07,plural
11802,sûre,sûr,ADJ,f,412.97,singular
11803,sûres,sûr,ADJ,f,412.97,plural
11807,pleines,plein,ADJ,f,370.41,plural
11824,certaine,certain,ADJ,f,182.64,singular
11825,certaines,certain,ADJ,f,182.64,plural
11826,aucune,aucune,ADJ:ind,f,174.73,singular
11843,légère,léger,ADJ,f,151.01,singular
11844,légères,léger,ADJ,f,151.01,plural
11867,jolie,joli,ADJ,f,120.0,singular
11868,jolies,joli,ADJ,f,120.0,plural
11869,telle,telle,ADJ:ind,f,118.58,singular
11882,courte,court,ADJ,f,108.99,singular
11883,courtes,court,ADJ,f,108.99,plural
11896,différente,différent,ADJ,f,92.03,singular
11897,différentes,différent,ADJ,f,92.03,plural
11944,publique,public,ADJ,f,65.27,singular
11945,publiques,public,ADJ,f,65.27,plural
11946,soudaine,soudain,ADJ,f,65.27,singular
11978,vaine,vain,ADJ,f,57.03,singular
11979,vaines,vain,ADJ,f,57.03,plural
11996,certaines,certaines,ADJ:ind,f,51.55,plural
12003,intérieure,intérieur,ADJ,f,50.61,singular
12004,intérieures,intérieur,ADJ,f,50.61,plural
12008,personnelle,personnel,ADJ,f,50.0,singular
12009,personnelles,personnel,ADJ,f,50.0,plural
12018,puissante,puissant,ADJ,f,47.7,singular
12019,puissantes,puissant,ADJ,f,47.7,plural
12026,éternelle,éternel,ADJ,f,45.88,singular
12027,éternelles,éternel,ADJ,f,45.88,plural
12046,gaie,gai,ADJ,f,41.76,singular
12053,régulières,régulier,ADJ,f,41.35,plural
12056,charmante,charmant,ADJ,f,41.15,singular
12057,charmantes,charmant,ADJ,f,41.15,plural
12058,réelle,réel,ADJ,f,40.95,singular
12059,réelles,réel,ADJ,f,40.95,plural
12068,habituelle,habituel,ADJ,f,39.93,singular
12069,habituelles,habituel,ADJ,f,39.93,plural
12080,exacte,exact,ADJ,f,38.58,singular
12081,exactes,exact,ADJ,f,38.58,plural
12093,délicates,délicat,ADJ,f,37.03,plural
12097,futures,futur,ADJ,f,36.35,plural
12098,brûlante,brûlant,ADJ,f,36.28,singular
12101,cruelle,cruel,ADJ,f,35.88,singular
12105,attentive,attentif,ADJ,f,35.74,singular
12127,excellente,excellent,ADJ,f,33.92,singular
12128,excellentes,excellent,ADJ,f,33.92,plural
12129,évidente,évident,ADJ,f,33.58,singular
12130,évidentes,évident,ADJ,f,33.58,plural
12137,féminine,féminin,ADJ,f,32.91,singular
12138,féminines,féminin,ADJ,f,32.91,plural
12150,intacte,intact,ADJ,f,31.89,singular
12160,enfantine,enfantin,ADJ,f,31.15,singular
12162,transparente,transparent,ADJ,f,30.81,singular
12163,transparentes,transparent,ADJ,f,30.81,plural
12164,âgée,âgé,ADJ,f,30.74,singular
12165,âgées,âgé,ADJ,f,30.74,plural
12174,amère,amer,ADJ,f,30.07,singular
12176,étonnante,étonnant,ADJ,f,30.0,singular
12177,étonnantes,étonnant,ADJ,f,30.0,plural
12178,extérieure,extérieur,ADJ,f,29.86,singular
12179,extérieures,extérieur,ADJ,f,29.86,plural
12194,intéressante,intéressant,ADJ,f,28.65,singular
12195,intéressantes,intéressant,ADJ,f,28.65,plural
12197,civiles,civil,ADJ,f,28.51,plural
12204,telles,telles,ADJ:ind,f,27.16,plural
12229,inattendue,inattendu,ADJ,f,25.14,singular
12230,inattendues,inattendu,ADJ,f,25.14,plural
12237,immédiate,immédiat,ADJ,f,24.59,singular
12238,immédiates,immédiat,ADJ,f,24.59,plural
12257,récente,récent,ADJ,f,23.45,singular
12258,récentes,récent,ADJ,f,23.45,plural
12259,souriante,souriant,ADJ,f,23.45,singular
12261,fatale,fatal,ADJ,f,23.38,singular
12269,essentielle,essentiel,ADJ,f,23.04,singular
12270,essentielles,essentiel,ADJ,f,23.04,plural
12271,subtile,subtil,ADJ,f,22.91,singular
12272,subtiles,subtil,ADJ,f,22.91,plural
12279,grossière,grossier,ADJ,f,22.57,singular
12283,massive,massif,ADJ,f,22.3,singular
12284,massives,massif,ADJ,f,22.3,plural
12291,pointue,pointu,ADJ,f,21.62,singular
12292,pointues,pointu,ADJ,f,21.62,plural
12300,géantes,géant,ADJ,f,21.42,plural
12301,singulière,singulier,ADJ,f,21.42,singular
12302,singulières,singulier,ADJ,f,21.42,plural
12303,aérienne,aérien,ADJ,f,21.15,singular
12304,aériennes,aérien,ADJ,f,21.15,plural
12309,incertaine,incertain,ADJ,f,20.95,singular
12311,inquiétante,inquiétant,ADJ,f,20.88,singular
12323,sexuelle,sexuel,ADJ,f,20.54,singular
12324,sexuelles,sexuel,ADJ,f,20.54,plural
12333,éclatante,éclatant,ADJ,f,20.14,singular
12335,exceptionnelle,exceptionnel,ADJ,f,20.07,singular
12336,exceptionnelles,exceptionnel,ADJ,f,20.07,plural
12341,sanglante,sanglant,ADJ,f,20.0,singular
12342,sanglantes,sanglant,ADJ,f,20.0,plural
12345,surprenante,surprenant,ADJ,f,19.73,singular
12346,surprenantes,surprenant,ADJ,f,19.73,plural
12347,solennelle,solennel,ADJ,f,19.66,singular
12357,effrayante,effrayant,ADJ,f,19.19,singular
12364,successives,successif,ADJ,f,18.99,plural
12375,saines,sain,ADJ,f,18.65,plural
12386,perpétuelle,perpétuel,ADJ,f,18.24,singular
12414,urgente,urgent,ADJ,f,16.96,singular
12415,urgentes,urgent,ADJ,f,16.96,plural
12436,postale,postal,ADJ,f,16.76,singular
12437,postales,postal,ADJ,f,16.76,plural
12444,rassurante,rassurant,ADJ,f,16.69,singular
12450,subite,subit,ADJ,f,16.49,singular
12460,mondiale,mondial,ADJ,f,16.35,singular
12461,mondiales,mondial,ADJ,f,16.35,plural
12462,sure,sur,ADJ,f,16.22,singular
12463,sures,sur,ADJ,f,16.22,plural
12472,décisive,décisif,ADJ,f,16.01,singular
12473,décisives,décisif,ADJ,f,16.01,plural
12475,douteuses,douteux,ADJ,f,15.95,plural
12477,agressives,agressif,ADJ,f,15.88,plural
12492,excessive,excessif,ADJ,f,15.54,singular
12493,excessives,excessif,ADJ,f,15.54,plural
12510,inouïe,inouï,ADJ,f,15.2,singular
12514,traditionnelle,traditionnel,ADJ,f,15.2,singular
12515,traditionnelles,traditionnel,ADJ,f,15.2,plural
12546,consciente,conscient,ADJ,f,14.59,singular
12547,conscientes,conscient,ADJ,f,14.59,plural
12558,stricte,strict,ADJ,f,14.39,singular
12559,strictes,strict,ADJ,f,14.39,plural
12564,animale,animal,ADJ,f,14.19,singular
12565,animales,animal,ADJ,f,14.19,plural
12570,émouvante,émouvant,ADJ,f,14.05,singular
12580,paternelle,paternel,ADJ,f,13.92,singular
12604,infernale,infernal,ADJ,f,13.38,singular
12608,flottante,flottant,ADJ,f,13.31,singular
12626,éventuelle,éventuel,ADJ,f,13.18,singular
12627,éventuelles,éventuel,ADJ,f,13.18,plural
12628,gratuite,gratuit,ADJ,f,13.11,singular
