"Word","lemme","cgram","genre","nombre","freqlemlivres"
"personnes","personne","NOM","f","p","209.8"
"arbre","arbre","NOM","m","s","208.58"
"arbres","arbre","NOM","m","p","208.58"
"compte","compte","NOM","m","s","208.38"
"comptes","compte","NOM","m","p","208.38"
"sang","sang","NOM","m","s","207.3"
"sangs","sang","NOM","m","p","207.3"
"chef","chef","NOM","","s","205.95"
"chefs","chef","NOM","","p","205.95"
"madame","madame","NOM","f","","203.45"
"mesdames","madame","NOM","f","p","203.45"
"papier","papier","NOM","m","s","203.11"
"papiers","papier","NOM","m","p","203.11"
"minute","minute","NOM","f","s","201.42"
"minutes","minute","NOM","f","p","201.42"
"coin","coin","NOM","m","s","199.26"
"coins","coin","NOM","m","p","199.26"
"couleur","couleur","NOM","f","s","198.72"
"couleurs","couleur","NOM","f","p","198.72"
"journal","journal","NOM","m","s","197.7"
"journaux","journal","NOM","m","p","197.7"
"semaine","semaine","NOM","f","s","197.5"
"semaines","semaine","NOM","f","p","197.5"
"cause","cause","NOM","f","s","197.3"
"causes","cause","NOM","f","p","197.3"
"souvenir","souvenir","NOM","m","s","197.03"
"souvenirs","souvenir","NOM","m","p","197.03"
"odeur","odeur","NOM","f","s","195.68"
"odeurs","odeur","NOM","f","p","195.68"
"argent","argent","NOM","m","s","194.39"
"argents","argent","NOM","m","p","194.39"
"oreille","oreille","NOM","f","s","194.12"
"oreilles","oreille","NOM","f","p","194.12"
"mal","mal","NOM","m","s","193.92"
"maux","mal","NOM","m","p","193.92"
"effet","effet","NOM","m","s","192.36"
"effets","effet","NOM","m","p","192.36"
"pierre","pierre","NOM","f","s","189.86"
"pierres","pierre","NOM","f","p","189.86"
"image","image","NOM","f","s","188.92"
"images","image","NOM","f","p","188.92"
"peau","peau","NOM","f","s","187.77"
"peaux","peau","NOM","f","p","187.77"
"jardin","jardin","NOM","m","s","185.81"
"jardins","jardin","NOM","m","p","185.81"
"vieille","vieux","NOM","f","s","185.81"
"vieilles","vieux","NOM","f","p","185.81"
"vieux","vieux","NOM","m","","185.81"
"chien","chien","NOM","m","s","184.59"
"chienne","chien","NOM","f","s","184.59"
"chiennes","chien","NOM","f","p","184.59"
"chiens","chien","NOM","m","p","184.59"
"type","type","NOM","m","s","184.19"
"types","type","NOM","m","p","184.19"
"mouvement","mouvement","NOM","m","s","182.97"
"mouvements","mouvement","NOM","m","p","182.97"
"journée","journée","NOM","f","s","179.39"
"journées","journée","NOM","f","p","179.39"
"cheval","cheval","NOM","m","s","179.26"
"chevaux","cheval","NOM","m","p","179.26"
"parole","parole","NOM","f","s","178.31"
