Word,lemme,cgram,freq
essaye,essayer,VER,56.84
ouvert,ouvrir,VER,56.83
signifie,signifier,VER,56.66
dégage,dégager,VER,56.41
chante,chanter,VER,56.16
présenter,présenter,VER,56.16
empêcher,empêcher,VER,55.99
dépêche,dépêcher,VER,55.9
fut,être,VER,55.88
enlève,enlever,VER,55.59
prévu,prévoir,VER,55.54
dort,dormir,VER,55.05
dors,dormir,VER,55.03
vis,voir,VER,54.62
apporté,apporter,VER,54.44
essayez,essayer,VER,54.14
sache,savoir,VER,54.06
seront,être,VER,54.06
arrivera,arriver,VER,53.86
né,naître,VER,53.72
éviter,éviter,VER,53.71
paie,payer,VER,53.51
dise,dire,VER,53.46
gagne,gagner,VER,53.39
venus,venir,VER,53.34
chier,chier,VER,53.3
pardonne,pardonner,VER,53.11
bu,boire,VER,53.1
allée,aller,VER,52.93
viendra,venir,VER,52.92
passez,passer,VER,52.84
parie,parier,VER,52.59
serez,être,VER,52.41
assis,asseoir,VER,52.34
offrir,offrir,VER,52.06
regrette,regretter,VER,51.99
offre,offrir,VER,51.81
dîner,dîner,VER,51.78
demandez,demander,VER,51.74
remercie,remercier,VER,51.61
fout,foutre,VER,51.51
ramener,ramener,VER,51.43
verras,voir,VER,51.34
vécu,vivre,VER,51.14
tourner,tourner,VER,51.05
touché,toucher,VER,50.97
partons,partir,VER,50.52
discuter,discuter,VER,50.43
retrouvé,retrouver,VER,50.38
venait,venir,VER,50.25
morts,mourir,VER,50.22
détruire,détruire,VER,50.12
avaient,avoir,VER,50.06
embrasse,embrasser,VER,49.81
travaillé,travailler,VER,49.81
aimait,aimer,VER,49.57
ramène,ramener,VER,49.52
oubliez,oublier,VER,49.48
toucher,toucher,VER,49.43
refuse,refuser,VER,49.29
blessé,blesser,VER,49.12
quitte,quitter,VER,49.07
fermer,fermer,VER,48.85
arranger,arranger,VER,48.51
aiment,aimer,VER,48.46
étions,être,VER,48.46
rendu,rendre,VER,48.31
dépend,dépendre,VER,48.3
permettez,permettre,VER,48.28
perds,perdre,VER,48.13
chanter,chanter,VER,48.12
explique,expliquer,VER,48.02
lâchez,lâcher,VER,48.02
savons,savoir,VER,47.84
vus,voir,VER,47.81
réfléchir,réfléchir,VER,47.59
appelait,appeler,VER,47.44
menti,mentir,VER,47.32
remarqué,remarquer,VER,47.2
courir,courir,VER,47.19
choisir,choisir,VER,47.09
continuez,continuer,VER,47.08
remettre,remettre,VER,47.05
rendez,rendre,VER,46.77
enlever,enlever,VER,46.74
pourrai,pouvoir,VER,46.71
préparer,préparer,VER,46.71
partis,partir,VER,46.29
parlons,parler,VER,46.28
découvert,découvrir,VER,46.22
rappeler,rappeler,VER,46.03
parfait,parfaire,VER,45.92
tirez,tirer,VER,45.9
veuillez,vouloir,VER,45.84
vérifier,vérifier,VER,45.69
prépare,préparer,VER,45.54
répète,répéter,VER,45.14
disons,dire,VER,45.13
entendez,entendre,VER,45.11
compter,compter,VER,45.05
marché,marcher,VER,44.87
cache,cacher,VER,44.82
aviez,avoir,VER,44.64
récupérer,récupérer,VER,44.59
sers,servir,VER,44.58
voudrait,vouloir,VER,44.48
parlait,parler,VER,44.37
pourras,pouvoir,VER,44.35
bouger,bouger,VER,44.32
meurt,mourir,VER,44.29
rentré,rentrer,VER,44.27
approche,approcher,VER,44.17
restes,rester,VER,44.15
bougez,bouger,VER,44.09
embrasser,embrasser,VER,43.91
meurs,mourir,VER,43.9
frappé,frapper,VER,43.83
vouliez,vouloir,VER,43.78
amuser,amuser,VER,43.77
assure,assurer,VER,43.77
regardes,regarder,VER,43.64
jette,jeter,VER,43.48
resté,rester,VER,43.45
accepter,accepter,VER,43.39
excuser,excuser,VER,43.01
cherchez,chercher,VER,42.95
feras,faire,VER,42.91
emmenez,emmener,VER,42.79
cassé,casser,VER,42.71
failli,faillir,VER,42.7
prévenir,prévenir,VER,42.51
risque,risquer,VER,42.32
décider,décider,VER,42.27
régler,régler,VER,42.27
baiser,baiser,VER,42.25
interdit,interdire,VER,42.13
mens,mentir,VER,42.12
foutu,foutre,VER,41.96
entend,entendre,VER,41.77
rejoindre,rejoindre,VER,41.59
couper,couper,VER,41.45
comprend,comprendre,VER,41.39
frappe,frapper,VER,41.37
occupé,occuper,VER,41.37
casse,casser,VER,41.32
regardé,regarder,VER,41.29
dormi,dormir,VER,41.25
prouver,prouver,VER,41.06
appartient,appartenir,VER,40.94
crains,craindre,VER,40.76
ravi,ravir,VER,40.64
voulons,vouloir,VER,40.38
attendant,attendre,VER,40.34
souhaite,souhaiter,VER,39.98
perd,perdre,VER,39.97
mérite,mériter,VER,39.92
passera,passer,VER,39.92
amuse,amuser,VER,39.85
achète,acheter,VER,39.82
lis,lire,VER,39.81
reposer,reposer,VER,39.81
falloir,falloir,VER,39.78
échapper,échapper,VER,39.72
tuée,tuer,VER,39.56
gardez,garder,VER,39.17
réparer,réparer,VER,39.13
manqué,manquer,VER,38.94
coûte,coûter,VER,38.84
inquiétez,inquiéter,VER,38.8
remercier,remercier,VER,38.6
attendu,attendre,VER,38.45
accepte,accepter,VER,38.41
pourrez,pouvoir,VER,38.28
prise,prendre,VER,38.26
arrivée,arriver,VER,38.24
écris,écrire,VER,38.24
amené,amener,VER,38.14
doute,douter,VER,37.83
prendra,prendre,VER,37.82
bois,boire,VER,37.63
vendu,vendre,VER,37.62
agir,agir,VER,37.48
pensent,penser,VER,37.42
supplie,supplier,VER,37.38
reconnais,reconnaître,VER,37.36
rappelles,rappeler,VER,37.34
recevoir,recevoir,VER,37.2
découvrir,découvrir,VER,37.11
imaginer,imaginer,VER,37.09
frapper,frapper,VER,37.08
mentir,mentir,VER,37.01
reprendre,reprendre,VER,36.98
attendent,attendre,VER,36.95
entré,entrer,VER,36.9
obtenir,obtenir,VER,36.7
souvenez,souvenir,VER,36.7
réveiller,réveiller,VER,36.66
défendre,défendre,VER,36.58
servi,servir,VER,36.58
dira,dire,VER,36.47
file,filer,VER,36.47
cherches,chercher,VER,36.45
obligé,obliger,VER,36.43
laisses,laisser,VER,36.4
rappelez,rappeler,VER,36.35
trouvée,trouver,VER,36.28
casser,casser,VER,36.24
fumer,fumer,VER,35.91
lever,lever,VER,35.9
marié,marier,VER,35.76
couché,coucher,VER,35.71
demandais,demander,VER,35.69
crie,crier,VER,35.65
amener,amener,VER,35.6
voila,voiler,VER,35.54
verrez,voir,VER,35.5
détruit,détruire,VER,35.42
dépêchez,dépêcher,VER,35.35
mise,mettre,VER,35.33
attraper,attraper,VER,35.32
vole,voler,VER,35.31
suivi,suivre,VER,34.99
racontes,raconter,VER,34.95
assurer,assurer,VER,34.92
répondu,répondre,VER,34.9
aidé,aider,VER,34.74
fermé,fermer,VER,34.73
calmez,calmer,VER,34.63
vienne,venir,VER,34.52
conduit,conduire,VER,34.51
reviendra,revenir,VER,34.49
apporter,apporter,VER,34.43
raté,rater,VER,34.33
senti,sentir,VER,34.33
donnes,donner,VER,34.32
rêve,rêver,VER,34.32
pardonnez,pardonner,VER,34.31
ayez,avoir,VER,34.3
soient,être,VER,34.3
souffrir,souffrir,VER,34.26
voie,voir,VER,34.25
saura,savoir,VER,34.23
connaissais,connaître,VER,34.19
partager,partager,VER,34.05
ennuie,ennuyer,VER,34.04
laver,laver,VER,34.01
offert,offrir,VER,34.01
emmerde,emmerder,VER,33.9
raconté,raconter,VER,33.87
joues,jouer,VER,33.7
brûle,brûler,VER,33.66
revenez,revenir,VER,33.64
concerne,concerner,VER,33.49
accompagne,accompagner,VER,33.28
repose,reposer,VER,33.27
