,lemma,inflectedForm_1,locution
143,glagla,glagla,
144,gling,gling,
145,glou-glou,glou-glou,
146,glouglou,glouglou,
147,gnan,gnan,
148,gnian,gnian,
149,gouzi-gouzi,gouzi-gouzi,
150,grrr,grrr,
151,grâce,grâce,
152,guili-guili,guili-guili,
153,gué,gué,
154,gy,gy,
155,ha,ha,
156,haha,haha,
157,hahé,hahé,
158,hallali,hallali,
159,halte,halte,
160,han,han,
161,happ,happ,
162,hardi,hardi,
163,harlou,harlou,
164,haro,haro,
165,hasta luego,hasta luego,oui
166,haïe,haïe,
167,hein,hein,
168,hello,hello,
169,hem,hem,
170,hep,hep,
171,heu,heu,
172,hey,hey,
173,hi,hi,
